,Owner,BuildingsOwned,TotalSquareFootage,TotalGHGEmissions__metric_tons_,TotalElectricity_kBtu_,TotalSteamUse_kBtu,TotalNaturalGas_kBtu,TotalOtherFuelUse_kBtu,AverageGHGEmissionsIntensity,AverageSiteEUI_kBtu_sf,AverageSourceEUI_kBtu_sf,AverageENERGYSTARScore
508,COREY NICHOLAS ANDREW,1,37296,4,829742,0,0,0,0.1,22.2,62.3,99.0
509,WESTROY APARTMENTS L L C,1,25845,3,615680,0,1502,0,0.1,23.9,66.8,90.0
510,KAMI LP+MILKIE STUDIO INC ET AL,1,31756,3,704058,0,0,0,0.1,22.2,62.1,100.0
511,FIRST & REPUBLICAN ASSOCIATES L L C,1,44567,20,973593,0,281821,0,0.5,28.2,67.8,100.0
512,EQR-METRO ON FIRST LLC,1,91685,76,1718445,0,1259012,0,0.8,32.5,66.9,100.0
513,ASN SEATTLE LLC,1,171869,97,4203137,0,1415790,0,0.6,34.5,81.4,91.0
514,ODEGARD-GOCKEL INVESTMENTS LLC,1,50009,9,1563941,0,21898,0,0.2,31.7,88.0,88.0
515,WEST REPUBLICAN PLACE INC,1,22558,3,600421,0,0,0,0.1,26.6,74.5,98.0
516,EASTHOM INVESTMENT LLC,1,37767,28,831437,0,460143,0,0.8,34.2,74.4,
517,CIELE AZUL QA FLATS LLC,1,23060,16,415688,0,269239,0,0.7,29.7,62.7,95.0
518,DESC INTERBAY SUPPORTIVE HOUSING LP,1,48311,79,1459377,0,1358201,0,1.7,74.6,130.1,66.0
519,FLATS AT INTERBAY LIMITED PARTNERSHIP,1,88304,13,2464921,0,0,0,0.1,27.9,78.2,96.0
520,1127 OLYMPIC WAY WEST L L C,1,23585,38,176783,0,711412,0,1.6,35.0,48.9,94.0
521,KINNEAR LLC,1,34498,34,135514,0,626967,0,1.0,22.1,30.1,100.0
522,CHELSEA PLACE APARTMENTS L L C,1,38407,6,1230594,0,0,0,0.2,32.0,89.7,65.0
523,RUDENKO TATYANA,1,27008,3,604443,0,0,0,0.1,22.4,62.7,95.0
524,VIKMIN PROPERTIES LLC,1,20688,70,204796,0,1307038,0,3.4,73.1,94.1,33.0
525,OLYMPIC/GRAYSON ARMS LLC,1,29533,60,257108,0,1112649,0,2.0,46.4,63.9,96.0
526,LANTZ SUZANNE RAGAN,1,28564,76,287279,0,1410836,0,2.7,53.8,72.4,69.0
527,BAYVIEW MANOR HOMES,1,164378,51,9756662,0,0,0,0.3,49.3,138.1,48.0
528,1700 W ARMORY LLC,1,24930,2,541356,0,0,0,0.1,22.0,61.5,97.0
529,1625 W WHEELER LLC,1,24242,1,186604,0,0,0,0.0,8.9,24.9,100.0
530,SB-FELIX NORTH LLC,1,27984,5,1069430,0,0,0,0.2,38.2,107.0,34.0
531,OREGON PLACE APTS LLC,1,21300,3,631736,0,0,0,0.2,29.7,83.0,
532,SEWARD PARK APARTMENTS LLC,1,20645,3,665803,0,0,0,0.2,32.3,90.3,
533,PARK PLACE RHF HOUSING,1,121635,153,5062030,0,2373612,0,1.3,61.1,137.0,5.0
534,ESPERANZA APARTMENTS LTD PSTHP,1,66363,9,1810069,0,0,0,0.1,38.6,108.0,61.0
535,BIG BUY LLC,1,21640,3,588356,0,0,0,0.1,27.2,76.1,93.0
536,CY & Y ENTERPRISE LLC,1,22170,9,767778,0,109992,0,0.4,39.5,102.0,
537,LAKE WASHINGTON II LLLP,1,332900,70,13176325,0,0,0,0.2,46.8,131.2,27.0
538,MOUNT BAKER HOUSING ASSN,1,21540,4,828025,0,0,0,0.2,38.4,107.6,49.0
539,J & E APARTMENTS LLC,1,21708,64,342371,0,1185328,0,3.0,70.4,101.5,53.0
540,LILAC LODGE LLC,1,30216,5,998080,0,0,0,0.2,33.0,92.5,62.0
541,FONTANELLE APARTMENTS LLC,1,43330,6,1218917,0,0,0,0.1,28.1,78.8,71.0
542,BOYD PARKWAY APTS LLC,1,45201,8,1598553,0,0,0,0.2,35.4,99.0,56.0
543,SOUTHEAST SEATTLE SENIOR FOUNDATION,1,25174,4,837151,0,0,0,0.2,33.3,93.1,40.0
544,TARNG YAO SENG,1,30891,5,992114,0,0,0,0.2,32.1,89.9,58.0
545,MYRLE STREET APARTMENTS LLC,1,34678,5,1072997,0,0,0,0.2,30.9,86.6,62.0
546,BRIGHTON APARTMENTS L L C THE,1,160561,222,2088585,0,3973011,0,1.4,37.8,62.4,92.0
547,R&W LANTERA LLC,1,52588,7,1463818,0,0,0,0.1,27.0,75.5,80.0
548,GARDEN COURT WPIG L L C,1,43752,8,1498009,0,0,0,0.2,38.9,108.9,39.0
549,40TH AVE SOUTH L L C,1,30375,0,0,0,0,0,,,,
550,IGLESIA NI CRISTO,1,24200,14,228907,0,240211,0,0.6,19.4,36.9,94.0
551,LMD RENTALS LLC,1,22895,4,305804,0,52195,0,0.2,15.6,39.8,80.0
552,TWO SYNAGOGUES LLC,1,22029,36,125953,0,676722,0,1.7,36.4,48.3,48.0
553,PUGET SOUND NEIGHBORHOOD HEALTH CENTERS,1,25880,16,1790731,0,121219,0,0.6,73.9,198.7,11.0
554,SOUTH BENNETT STREET HOMES LLC,1,41649,200,2460760,0,3534207,0,4.8,143.0,252.9,67.0
555,B9 SS 40TH AVE OWNER LLC,1,48001,0,0,0,0,0,0.0,,,
556,EMPIRE WAY SHOPPING CENTER LLC,1,37883,172,323487,0,3207857,0,4.5,93.2,112.8,
557,WCSD 6020 RAINIER AVE S LLC,1,41720,0,0,0,0,0,,,,
558,SPENCER APARTMENTS LLC,1,27320,4,888092,0,0,0,0.2,32.5,91.0,74.0
559,COLONY SURF LLC,1,42816,6,1218201,0,0,0,0.2,33.2,93.0,77.0
560,SVAP III ELLIOT PLAZA LLC,1,50660,20,467048,0,337186,0,0.4,15.9,32.8,88.0
561,DESC RAINIER HOUSING L P,1,43732,118,909112,0,2134009,0,2.7,69.6,109.4,16.0
562,1570 W ARMORY LLC,1,25657,3,631838,0,0,0,0.1,24.7,69.1,
563,DS PROPERTIES 18 LP,1,21301,7,1327626,0,0,0,0.3,62.3,174.5,
564,ARE SEATTLE NO 10 LLC,1,34416,426,3841840,0,7653181,0,12.4,339.8,555.6,
565,CRUISE LLC,1,1038760,436,35118454,0,4704359,0,0.4,40.2,104.3,91.0
566,HAYS ELLIOTT PROPERTIES LLC,1,20671,12,34782,0,235528,0,0.6,13.1,16.7,100.0
567,QA CANAL LLC,1,20022,2,528358,0,0,0,0.1,25.4,71.2,86.0
568,S3KM LLC,1,25859,14,622175,0,209096,0,0.6,32.1,75.9,81.0
569,BAYVIEW BUILDING ASSOCIATES LLC,1,45864,92,475157,0,1699325,0,2.0,47.4,67.9,85.0
570,SELIG REAL ESTATE HOLDINGS TEN,1,157186,57,5429673,0,540037,0,0.4,35.1,92.6,91.0
571,ELLIOTT SEATTLE REAL ESTATE HOLDING INC,1,129362,150,3312277,0,2499870,0,1.2,52.8,108.2,88.0
572,QA PARTNERS LLC,1,50283,57,1963566,0,880620,0,1.1,55.8,126.1,76.0
573,NW WORK LOFTS LP,1,217800,340,3466080,0,6069261,0,1.6,44.3,74.7,
574,HIT PORTFOLIO II OWNER LLC,1,118858,134,6714652,0,1865290,0,1.1,72.2,174.7,16.0
575,PAPE PROPERTIES INC,1,30004,120,919770,0,2181924,0,4.0,106.1,166.5,8.0
576,CREF3 NORFOLK STREET OWNER LLC,1,26380,2,408516,0,0,0,0.1,15.5,43.4,73.0
577,98 NORFOLK LLC,1,60448,15,486957,0,249339,0,0.3,12.2,26.9,91.0
578,NORFOLD BUILDING LP,1,123000,93,3666859,0,1400115,0,0.8,41.2,95.3,3.0
579,5940 MARTIN LUTHER KING WAY SOUTH LLC,1,27435,49,749891,0,847312,0,1.8,58.2,109.0,
580,SAINT GERVAIS LLC % STARRETT CTY ASSO,1,67450,42,2117071,0,590148,0,0.6,63.3,153.1,96.0
581,YEE KING G LLC,1,61053,354,7699519,0,5912008,0,5.8,250.1,510.1,36.0
582,AREC RW MS LLC C/O U-HAUL INTERNATIONAL INC,1,23100,3,490837,0,14191,0,0.1,21.7,59.8,
583,OTHELLO NORTH LP,1,328779,238,3159783,0,4170125,0,0.7,59.5,107.4,70.0
584,ANGELINE OWNER LLC,1,197139,222,3009700,0,3889707,0,1.1,41.2,74.7,99.0
585,MATTESON GREENHOUSE INVESTORS LLC,1,96205,71,2019527,0,1137274,0,0.7,34.2,74.2,98.0
586,TD FRANK FAMILY LLC,1,36765,6,1137065,0,0,0,0.2,27.0,75.6,62.0
587,STATION AT OTHELLO PARK LLC,1,297636,40,7520222,0,0,0,0.1,43.6,103.0,75.0
588,4730 32ND AVENUE DEVELOPMENT II LLC,1,145509,113,2087045,0,1924548,0,0.8,27.6,54.0,100.0
589,WOLSKI DAVID,1,27328,89,227960,0,1665928,0,3.3,69.3,87.4,40.0
590,TMUD GSL LLC,1,125562,181,4588587,0,2965013,0,1.4,60.2,127.1,88.0
591,CAPITOL HILL HOUSING IMPROVEMENT PROGRAM,1,20457,69,268065,0,1278024,0,3.4,71.2,96.4,50.0
592,SWIND 2424 8TH AVENUE POINT LLC,1,84420,32,1977223,0,415457,0,0.4,29.4,73.3,60.0
593,HGA INVESTMENTS LLC,1,21900,73,72075,0,1374638,0,3.4,66.1,75.1,
594,LUCURELL DREW D,1,33000,25,202169,0,459890,0,0.8,20.1,31.8,
595,KACZMAREK WILLIAM J+VIRGINIA A,1,36040,7,216031,0,114511,0,0.2,9.2,20.1,84.0
596,PAUL LAUZIER SCHOLARSHIP FOUNDATION+PAUL LAUZIER CHARITABLE FOUNDATION,1,28144,10,593688,0,134562,0,0.4,25.7,63.8,44.0
597,SOUTH FOREST LLC,1,41248,17,771535,0,245590,0,0.4,24.6,58.4,43.0
598,DCT INDUSTRIAL VALUE FUND I,1,21755,3,246735,0,47275,0,0.2,13.5,34.0,
599,ALASKAN COPPER COMPANIES INC,1,160000,0,0,0,0,0,,,,
600,RS KOHLS PROPERTIES LLC,1,35579,29,368188,0,525548,0,0.8,25.1,44.5,75.0
601,JABOW INC +KRISTU LLC,1,26680,3,596677,0,0,0,0.1,17.6,49.2,53.0
602,AMB US LOGISTICS FUND LP,1,411584,280,4407707,0,4847181,0,0.7,22.5,42.4,79.0
603,FM 1703 6TH AVE SOUTH LLC,1,111908,6,1215052,0,119,0,0.1,10.9,30.4,64.0
604,27OO 4TH AVE SOUTH L P,1,56876,56,364446,0,1023429,0,1.0,24.4,36.8,
605,PACIFIC MILLENNIAL REALTY LLC,1,73335,10,466651,0,154071,0,0.1,8.5,20.0,89.0
606,PREDATION LLC,1,110613,41,875833,0,694829,0,0.4,14.2,28.8,85.0
607,PORT SEATTLE,1,68640,50,9470224,0,0,0,0.7,122.3,306.6,
608,1016 1ST AVE SOUTH LP,1,47000,5,968099,0,0,0,0.1,17.2,48.2,
609,1000 1ST AVENUE SOUTH LIMITED PARTNERSHIP,1,64800,10,1954636,0,0,0,0.2,31.8,88.9,33.0
610,BEL TEMPO LLC,1,92792,98,2164767,0,1631458,0,1.1,38.4,78.7,68.0
611,JMDH REAL ESTATE OF SEATTLE LLC,1,63225,0,0,0,0,0,,,,
612,NESOR INVESTMENT CO,1,162157,873,33187613,0,13127223,0,5.4,253.3,583.5,
613,MUNICIPAL OF METROPOL SEATTLE,1,21947,51,877032,0,881564,0,2.3,65.4,125.7,
614,DANIEL SMITH INC,1,30496,35,1300951,0,536533,0,1.2,56.3,128.9,
615,NICOLA SOUTH HANFORD LP,1,35310,8,552546,0,97865,0,0.2,18.6,47.2,
616,MASSACHUSETTS L L C,1,46183,21,1133126,0,284713,0,0.5,30.7,75.2,
617,GULL INDUSTRIES INC,1,39600,33,462365,0,575574,0,0.8,26.2,48.0,
618,1741 1ST SODO LLC,1,53280,22,4157276,0,0,0,0.4,79.0,221.2,
619,SODO HOLGATE CENTER LLC,1,112896,124,7747761,0,1563806,0,1.1,82.5,206.7,62.0
620,SIC RP LLC,1,174226,165,31198717,0,749,0,1.0,179.1,501.4,
621,WES 2233 LLC,1,35400,82,727021,0,1487533,0,2.3,60.7,98.6,
622,CEK HOLDINGS II L L C,1,25821,5,203607,0,91160,0,0.2,11.4,25.8,
623,VIC AND JACK LLC,1,25375,8,1581785,0,0,0,0.3,61.6,172.4,
624,BNR CORPORATION,1,21870,4,778035,0,0,0,0.2,35.6,99.6,55.0
625,GILLESPIE ROBERT L+ANCICH PATRICIA A,1,24990,15,472016,0,235715,0,0.6,21.9,48.5,
626,CECCHINELLI STEVEN J,1,22972,2,523014,0,0,0,0.1,22.8,63.7,18.0
627,2724 6TH AVENUE SOUTH LP,1,20520,22,940493,0,328791,0,1.1,61.9,145.2,10.0
628,TERRENO 6TH AVE LLC,1,45842,40,629437,0,707917,0,0.9,29.2,54.7,55.0
629,FM 2323 AIRPORT WAY SOUTH LLC,1,41550,92,572838,0,1687430,0,2.2,54.4,81.2,36.0
630,HENSON FAMILY LIMITED LIABILITY COMPANY,1,38630,0,0,0,0,0,,,,
631,2100 AIRPORT WAY L L C,1,20796,52,373532,0,958164,0,2.5,64.0,98.7,
632,AVALON ARTISTS LLC,1,25881,12,784725,0,151002,0,0.5,32.6,82.0,7.0
633,B & B PARTNERS II LLC,1,38412,74,393128,0,1357757,0,1.9,43.8,63.2,64.0
634,EXCHANGE 54 S DAWSON LLC,1,53550,43,1056176,0,719058,0,0.8,33.2,69.3,55.0
635,2440 FIRST AVENUE SOUTH II LP,1,21600,19,160147,0,346843,0,0.9,23.5,37.6,68.0
636,WAREHOUSE INNOVATIONS LLC,1,20200,1,306970,0,0,0,0.1,15.2,42.6,29.0
637,PURPLE CHEETAH LLC,1,30545,61,494735,0,1115834,0,2.0,52.7,83.7,21.0
638,PALACE INVESTMENT CO,1,24000,38,352660,0,689301,0,1.6,43.4,71.3,50.0
639,SEADRUNAR PROPERTIES,1,46340,7,1415059,0,0,0,0.2,30.5,85.5,33.0
640,NICOLA URBANWORKS LP,1,180620,554,4689838,0,9977136,0,3.1,81.2,130.7,32.0
641,TUALATIN-LAKE OSWEGO LLC,1,115668,110,975598,0,1988235,0,1.0,25.7,41.8,46.0
642,6TH & HOLGATE BUILDING LLC,1,149881,130,6037578,0,1853938,0,0.9,52.7,125.8,8.0
643,HILL INVESTMENT COMPANY,1,144050,83,3230297,0,1256809,0,0.6,31.1,72.0,
644,WSA PROPERTIES LLC,1,78814,3,550871,0,7700,0,0.0,7.1,19.7,67.0
645,BIESOLD 4100 LLC,1,98480,12,2330482,0,0,0,0.1,23.7,66.3,56.0
646,TERRENO 4225 2ND AVENUE SOUTH LLC,1,50832,73,924114,0,1285618,0,1.4,43.5,77.5,55.0
647,G S BUILDING SUPPLY INC,1,104786,0,0,0,0,0,,,,
648,TERRENO 1ST AVENUE SOUTH LLC,1,234144,81,9107,0,1536296,0,0.3,6.6,7.0,
649,OB SODO PROPERTIES V LLC,1,23792,13,2518086,0,0,0,0.6,105.8,296.3,65.0
650,COSTCO WHOLESALE CORPORATION,1,158415,529,13917459,0,8567611,0,3.3,141.9,302.8,81.0
651,STAN & SHIRLEY HANDALY L L C,1,24430,19,717496,0,294931,0,0.8,41.6,95.2,
652,NEWSOM PROPERTIES L L C,1,56700,29,1513558,0,407595,0,0.5,33.9,82.3,55.0
653,FOUNDRY LLC,1,31360,0,0,0,0,0,0.0,,,
654,OLETA APARTMENTS LIMITED PARTNERSHIP,1,21264,55,323594,0,1006925,0,2.6,61.3,90.5,73.0
655,EVERGREEN TREATMENT SERVICES,1,34425,25,1062188,0,373163,0,0.7,27.8,65.1,
656,URG OLYMPIC BUILDING LLC,1,103200,19,3588298,0,0,0,0.2,33.7,94.3,93.0
657,LIBERTY RIDGE L L C,1,50008,37,1101036,0,597156,0,0.8,34.0,74.2,89.0
658,KEY MAC LLC,1,53620,43,1679676,0,657935,0,0.8,43.6,100.6,94.0
659,1ST AVENUE SOUTH SEATTLE OWNER LLC,1,36000,43,2317426,0,588992,0,1.2,112.8,233.0,
660,SC SEATTLE RE II LLC,1,25460,4,794194,0,0,0,0.2,96.6,270.4,
661,B&E INVESTMENTS LLC,1,44775,12,253944,0,203967,0,0.3,10.2,20.7,
662,2944 FIRST AVENUE SOUTH LP,1,26075,21,801516,0,330468,0,0.8,43.4,99.4,
663,CGA II LLC,1,27760,71,606278,0,1292010,0,2.6,50.3,81.0,
664,PACIFIC INDUSTRIAL CENTER LP,1,36400,41,938407,0,687604,0,1.1,44.7,92.0,
665,640 SPOKANE LLC,1,27933,61,11613093,0,0,0,2.2,415.7,1164.1,
666,CANAL BOILER LP,1,32100,21,325107,0,374112,0,0.7,21.8,40.6,
667,MONROE COMMERCIAL PROPERTIES LLC,1,31365,2,450116,0,3516,0,0.1,14.5,40.3,
668,MUNICIPALITY OF METROPOLITAN S,1,230971,1179,11159342,0,21094967,0,5.1,163.9,271.4,
669,STADIUM SILVER CLOUD INN LLC,1,153882,311,4460828,0,5418908,0,2.0,64.2,118.1,91.0
670,JUKEBOX CITY BUILDING LLC,1,27000,0,0,0,0,0,0.0,,,
671,DAHLGREN FAMILY LLC #1,1,45000,13,2474493,0,0,0,0.3,55.0,154.0,
672,NELSEN LARRY A,1,29400,0,155688,0,0,0,0.0,6.2,17.4,83.0
673,NORTH SEATTLE PROPERTIES III LLC,1,48112,5,1065218,0,0,0,0.1,22.1,62.0,78.0
674,RH SIXTH AVENUE PLAZA ASSOC LLC+RH NORTHGATE-STONE AVE ASSOC LLC,1,92080,162,3455271,0,2721373,0,1.8,67.0,136.0,
675,L & R LINDEN L L C,1,52311,21,22287,0,399018,0,0.4,8.2,9.4,98.0
676,ANYU LLC (89.4%)+KREMER FAMILY REVOCABLE TRUST (10.6%),1,50083,15,2854097,0,0,0,0.3,56.9,159.4,
677,GREENWOOD ASSOCIATES,1,40485,10,448349,0,156148,0,0.3,8.4,19.7,
678,EXTRA SPACE PROPERTIES SEVENTY ONE LLC,1,94400,2,552901,0,0,0,0.0,5.5,15.3,
679,NORTH SEATTLE AURORA PROPERTIES LLC,1,21633,65,1590035,0,1081632,0,3.0,123.5,258.3,
680,YEH ROBERT,1,65434,9,1855839,0,0,0,0.2,28.4,79.4,98.0
681,10306 MERIDIAN AVENUE NORTH LLC,1,127230,32,3790172,0,224148,0,0.3,37.7,102.0,80.0
682,LINDEN SQUARE APARTMENTS LP,1,171306,27,4879020,0,29389,0,0.2,22.8,63.7,98.0
683,COMPASS BROADVIEW LLC,1,58592,54,1161737,0,906650,0,0.9,47.3,96.2,86.0
684,ROEBLING SEATTLE LLC,1,58970,3,675252,0,0,0,0.1,16.7,46.9,
685,MSI PROVIDENT LLC,1,64488,9,1842854,0,1905,0,0.2,28.2,78.8,92.0
686,CEDARSTRAND PROPERTIES LLC,1,60592,26,3041168,0,196136,0,0.4,53.6,144.4,42.0
687,INS HOLDINGS LLC,1,76624,31,2728613,0,310338,0,0.4,39.7,104.0,72.0
688,ARE SEATTLE NO 37 HOLDING LLC,1,40970,0,0,0,0,0,0.0,,,
689,CREF3 2326 AIRPORT WAY OWNER LLC,1,21349,0,0,0,0,0,0.0,,,
690,SIC PROJECT OWNER LLC,1,41790,0,0,0,0,0,0.0,,,
691,BOSTON HARBOR LLC,1,21900,30,409536,0,528103,0,1.4,42.8,77.7,82.0
692,TERRENO 4930 3RD AVENUE SOUTH LLC,1,37247,88,467929,0,1610538,0,2.4,55.8,80.6,43.0
693,FOURTH AVE HOLDINGS,1,43794,17,962067,0,226690,0,0.4,27.1,66.9,79.0
694,PROLOGIS-EXCHANGE 646 SOUTH HOLGATE STREET LLC,1,25880,1,295817,0,0,0,0.1,11.4,32.0,
695,WESTERN CASTING LLC,1,20000,2,458680,0,0,0,0.1,22.9,64.2,
696,SEATTLE PACIFIC BUSINESS PARK LLC,1,76442,116,1250751,0,2062560,0,1.5,43.5,74.5,82.0
697,SODO PARTNERS LLC,1,126604,86,3525009,0,1269164,0,0.7,44.4,103.7,
698,HUDSON STREET LTD PARTNERSHIP,1,42355,13,2559878,0,0,0,0.3,60.4,169.2,
699,YUAN PAUL J L+SOPHIA Y,1,26510,8,696796,0,86968,0,0.3,25.4,66.3,90.0
700,KEYBANK NATIONAL ASSOCIATION,1,35202,26,4971277,0,0,0,0.8,149.0,417.3,1.0
701,TRIGGER BUILDING LLC,1,26310,1,302229,0,0,0,0.1,11.1,31.2,98.0
702,66 SOUTH HANFORD STREET LIMITED PARTNERSHIP,1,39036,34,682556,0,577402,0,0.9,30.5,61.0,
703,MSI 1943 1ST AVE LLC,1,49052,4,786130,0,0,0,0.1,18.5,51.9,98.0
704,CLOSE FRANK A+TERRI ANN,1,22580,9,754360,0,109871,0,0.4,38.3,98.7,90.0
705,CEDERSTRAND RENTALS LLC,1,20150,1,251210,0,0,0,0.1,12.5,34.9,98.0
706,SEATTLE LABOR TEMPLE ASSOCIATION INC,1,43473,20,3871334,0,0,0,0.5,89.1,249.3,11.0
707,TERRENO OCCIDENTAL LLC,1,51664,6,1264078,0,0,0,0.1,24.5,68.5,
708,2724 1ST AVENUE SOUTH LLC,1,20460,17,3278572,0,0,0,0.9,161.9,453.2,1.0
709,SPIRE 1550 4TH AVE LP,1,47368,5,1051172,0,0,0,0.1,,,
710,TLC PROPERTIES INC,1,28800,26,523392,0,440130,0,0.9,33.5,66.9,75.0
711,HARBOR REAL ESTATE INVESTMENTS,1,40657,11,1842460,0,38390,0,0.3,46.3,127.9,79.0
712,HUDSON STREET SPE LLC,1,93610,145,2530733,0,2491848,0,1.6,49.3,95.3,
713,WSA PROPERTIES X11 LLC,1,62370,14,2730868,0,0,0,0.2,45.6,127.7,58.0
714,FU QUAN LLC,1,72000,15,2018759,0,94315,0,0.2,29.3,79.9,90.0
715,TA REALTY VALUE-ADD FUND XIII REIT LLC,1,23143,17,336419,0,300887,0,0.8,27.6,54.5,
716,BOTTLEWORKS III LLC,1,39600,12,379970,0,189585,0,0.3,14.4,31.9,83.0
717,LEAVITT-WOLFF NORTHWEST PROP LLC,1,23750,30,264562,0,554034,0,1.3,33.9,54.7,72.0
718,MCCLELLAN APRARTMENTS LLC,1,45167,27,733471,0,445186,0,0.6,30.9,66.1,
719,MB WAREHOUSE L L C,1,31000,21,466567,0,350235,0,0.7,26.3,54.0,
720,TERRA PROPERTIES WALDEN LLP,1,47560,60,667786,0,1070929,0,1.3,36.6,63.0,49.0
721,BAYVIEW WALKER LLC,1,166014,64,5555995,0,650377,0,0.4,37.4,97.8,34.0
722,METROPOLE HILLTOP LLC,1,21603,96,3048528,0,1512091,0,4.5,211.1,468.6,49.0
723,RAINIER PLAZA #2 LLC,1,50785,175,5079339,0,2789475,0,3.4,154.9,337.7,72.0
724,VALLEY CITIES COUNSELING & CONSULTATION,1,33332,161,741486,0,2962313,0,4.8,111.1,155.6,
725,TONG FAMILY PARTNERSHIP,1,25480,5,1019864,0,0,0,0.2,40.0,112.1,
726,CSIFV-COLUMBIA CITY LLC,1,87576,4,854024,0,5413,0,0.1,9.8,27.4,
727,SEA SELF STORE L L C,1,28800,20,523840,0,325542,0,0.7,29.5,62.8,
728,BELL FUND VII JACKSON STREET LLC,1,152532,123,2382538,0,2080912,0,0.8,23.8,47.2,
729,HOLGATE 12 LLC,1,20445,0,0,0,0,0,,,,
730,USPF LANE LP,1,112998,66,2156088,0,1044531,0,0.6,28.5,63.6,
731,DESC ESTEELE SUPPORTIVE HOUSING LP,1,52061,68,1514904,0,1134287,0,1.3,48.7,99.8,85.0
732,SOUTHEAST EFFECTIVE DEVELOPMENT,1,207915,395,5365582,0,6900949,0,1.9,59.0,107.1,74.0
733,HUTCHINSON CAROL S,1,71283,25,881797,0,390054,0,0.4,17.8,40.4,78.0
734,RAINIER COURT ASSOCIATES 2002-1,1,172135,257,5438349,0,4301804,0,1.5,56.6,114.7,59.0
735,PRATT PARK OWNER LLC,1,221996,237,5036102,0,3972399,0,1.1,40.6,82.3,
736,NHCDI/LIHI SQUIRE PARK PLAZA LLC,1,68459,9,1819760,0,0,0,0.1,20.9,58.5,99.0
737,JEFFERSON PARK LLC,1,39005,37,538719,0,645250,0,1.0,28.5,52.6,
738,DAY 31 LLC,1,24838,70,718900,0,1262601,0,2.9,58.4,98.3,
739,PATHFINDER SEATTLE HOLDINGS LLC,1,122941,10,1924245,0,0,0,0.1,29.9,83.8,97.0
740,T+C SEATTLE,1,26245,4,764865,0,0,0,0.2,29.1,81.6,81.0
741,LESCHI HEIGHTS LLC,1,24621,3,586733,0,0,0,0.1,23.8,66.7,98.0
742,TC LAKEFRONT LLC+CG LAKEFRONT LLC+JSP LAKEFRONE I LLC+JSP LAKEFRONT II LLC,1,72566,12,2273501,0,888,0,0.2,31.3,87.7,62.0
743,ARTSPACE HIAWATHA LIMITED PARTNERSHP,1,45956,10,2043256,0,0,0,0.2,31.4,87.8,49.0
744,WU NADINE+FAN BESSIE,1,20467,2,439266,0,0,0,0.1,21.5,60.1,83.0
745,CHE'S CONDOMINIUM LLC,1,27076,3,728194,0,0,0,0.1,26.9,75.3,77.0
746,PSJ LLC,1,37080,6,1225040,0,0,0,0.2,33.0,92.5,64.0
747,DEAN QOZBP LLC,1,35003,92,679415,0,1679512,0,2.7,65.5,101.8,7.0
748,WESTSIDE SCHOOL,1,35844,4,851053,0,0,0,0.1,16.0,44.8,99.0
749,PUGET SOUND EDUCATIONAL SERVICES DISTRICT,1,44162,33,814038,0,552949,0,0.8,31.0,64.8,
750,3515 SW OCEAN VIEW DRIVE L L C,1,27272,2,548249,0,0,0,0.1,20.1,56.3,95.0
751,FNA INVESTMENTS LLC,1,23169,1,192561,0,0,0,0.0,18.9,52.9,
752,COMMODORE II LLC,1,56884,60,719291,0,1065524,0,1.1,31.4,55.1,56.0
753,2240 WEST COMMODORE LLC,1,25600,30,1016823,0,471867,0,1.2,58.2,130.6,1.0
754,MAXWELL JAMES,1,22694,3,654801,0,0,0,0.2,28.9,80.8,97.0
755,PRM PROPERTY MANAGEMENT LLC,1,39514,5,1034899,0,0,0,0.1,26.2,73.3,76.0
756,CASA LADARO LLC,1,22146,6,1239320,0,0,0,0.3,29.3,82.1,56.0
757,MAGNOLIA CRESTVIEW LLC,1,25959,3,607669,0,0,0,0.1,23.4,65.5,83.0
758,MANOR PLACE LLC,1,28196,3,685378,0,0,0,0.1,24.3,68.1,99.0
759,LIONS BAY PROPERTIES LLC,1,23760,3,700681,0,0,0,0.2,27.3,76.4,78.0
760,STOL SAIDA,1,71610,11,2088334,0,0,0,0.2,29.2,81.7,100.0
761,WWJB LLC,1,22252,22,390664,0,387416,0,1.0,35.0,67.4,91.0
762,70/47 LLC,1,69881,30,1250940,0,439488,0,0.4,24.2,56.7,89.0
763,TEMPO APARTMENTS LLC,1,28880,12,916026,0,144843,0,0.4,36.7,94.1,60.0
764,BAYWATCH AT MAGNOLIA L L C,1,34270,3,629511,0,0,0,0.1,29.8,83.4,65.0
765,KDLODI LLC,1,24059,3,718539,0,0,0,0.2,29.9,83.6,71.0
766,CENTURY TWENTY ONE PROMOTIONS,1,35946,12,237331,0,205341,0,0.3,12.3,24.5,59.0
767,QWEST CORPORATION+CENTURYLINK QC,1,54986,38,1006723,0,618974,0,0.7,30.9,65.9,78.0
768,4019 21ST AVE W INCORPORATED,1,26048,8,1403481,0,20367,0,0.3,34.1,94.7,80.0
769,FISHERMANS COMMERCIAL L L C,1,29722,5,997476,0,0,0,0.2,41.5,116.3,72.0
770,J&M WHARF LLC,1,30172,3,612576,0,0,0,0.1,20.3,56.8,89.0
771,KWMCT REAL ESTATE LLC,1,22365,3,596703,0,0,0,0.1,27.6,77.3,75.0
772,COMMODORE WAY LLC,1,24472,4,740695,0,1383,0,0.2,29.5,82.4,94.0
