Owner,BuildingsOwned,TotalGHGE,TotalGHGE_metric_tons,AverageEnergyStarScore,TotalNaturalGas_kBtu,TotalElectricity_kBtu,TotalSteamUse_kBtu
STADIUM SILVER CLOUD INN LLC,1,311.5,311.5,91.0,5418908,4460828,0
MSI PROVIDENT LLC,1,9.9,9.9,92.0,1905,1842854,0
DAHLGREN FAMILY LLC #1,1,13.2,13.2,,0,2474493,0
NELSEN LARRY A,1,0.8,0.8,83.0,0,155688,0
NORTH SEATTLE PROPERTIES III LLC,1,5.7,5.7,78.0,0,1065218,0
RH SIXTH AVENUE PLAZA ASSOC LLC+RH NORTHGATE-STONE AVE ASSOC LLC,1,162.9,162.9,,2721373,3455271,0
L & R LINDEN L L C,1,21.3,21.3,98.0,399018,22287,0
ANYU LLC (89.4%)+KREMER FAMILY REVOCABLE TRUST (10.6%),1,15.2,15.2,,0,2854097,0
GREENWOOD ASSOCIATES,1,10.7,10.7,,156148,448349,0
PUBLIC STORAGE PROP XV INC,1,0.0,0.0,,0,0,0
EXTRA SPACE PROPERTIES SEVENTY ONE LLC,1,2.9,2.9,,0,552901,0
NORTH SEATTLE AURORA PROPERTIES LLC,1,65.9,65.9,,1081632,1590035,0
YEH ROBERT,1,9.9,9.9,98.0,0,1855839,0
10306 MERIDIAN AVENUE NORTH LLC,1,32.1,32.1,80.0,224148,3790172,0
LINDEN SQUARE APARTMENTS LP,1,27.5,27.5,98.0,29389,4879020,0
ROEBLING SEATTLE LLC,1,3.6,3.6,,0,675252,0
CEDARSTRAND PROPERTIES LLC,1,26.6,26.6,42.0,196136,3041168,0
FOUNDRY LLC,1,0.0,0.0,,0,0,0
KEYBANK NATIONAL ASSOCIATION,1,26.4,26.4,1.0,0,4971277,0
JUKEBOX CITY BUILDING LLC,1,0.0,0.0,,0,0,0
ARE SEATTLE NO 37 HOLDING LLC,1,0.0,0.0,,0,0,0
CREF3 2326 AIRPORT WAY OWNER LLC,1,0.0,0.0,,0,0,0
SIC PROJECT OWNER LLC,1,0.0,0.0,,0,0,0
BOSTON HARBOR LLC,1,30.2,30.2,82.0,528103,409536,0
TERRENO 4930 3RD AVENUE SOUTH LLC,1,88.0,88.0,43.0,1610538,467929,0
FOURTH AVE HOLDINGS,1,17.2,17.2,79.0,226690,962067,0
PROLOGIS-EXCHANGE 646 SOUTH HOLGATE STREET LLC,1,1.6,1.6,,0,295817,0
WESTERN CASTING LLC,1,2.4,2.4,,0,458680,0
SEATTLE PACIFIC BUSINESS PARK LLC,1,116.2,116.2,82.0,2062560,1250751,0
SODO PARTNERS LLC,1,86.2,86.2,,1269164,3525009,0
HUDSON STREET LTD PARTNERSHIP,1,13.6,13.6,,0,2559878,0
YUAN PAUL J L+SOPHIA Y,1,8.3,8.3,90.0,86968,696796,0
TRIGGER BUILDING LLC,1,1.6,1.6,98.0,0,302229,0
INS HOLDINGS LLC,1,31.0,31.0,72.0,310338,2728613,0
66 SOUTH HANFORD STREET LIMITED PARTNERSHIP,1,34.3,34.3,,577402,682556,0
MSI 1943 1ST AVE LLC,1,4.2,4.2,98.0,0,786130,0
CLOSE FRANK A+TERRI ANN,1,9.8,9.8,90.0,109871,754360,0
CEDERSTRAND RENTALS LLC,1,1.3,1.3,98.0,0,251210,0
SEATTLE LABOR TEMPLE ASSOCIATION INC,1,20.6,20.6,11.0,0,3871334,0
TERRENO OCCIDENTAL LLC,1,6.7,6.7,,0,1264078,0
2724 1ST AVENUE SOUTH LLC,1,17.4,17.4,1.0,0,3278572,0
SPIRE 1550 4TH AVE LP,1,5.6,5.6,,0,1051172,0
TLC PROPERTIES INC,1,26.2,26.2,75.0,440130,523392,0
HARBOR REAL ESTATE INVESTMENTS,1,11.8,11.8,79.0,38390,1842460,0
HUDSON STREET SPE LLC,1,145.8,145.8,,2491848,2530733,0
WSA PROPERTIES X11 LLC,1,14.5,14.5,58.0,0,2730868,0
FU QUAN LLC,1,15.7,15.7,90.0,94315,2018759,0
LEAVITT-WOLFF NORTHWEST PROP LLC,1,30.8,30.8,72.0,554034,264562,0
CREF3 3RD AVE OWNER LLC,1,45.2,45.2,59.0,717026,1344188,0
1630 LLC,1,76.4,76.4,80.0,1419504,196007,0
MCCLELLAN APRARTMENTS LLC,1,27.5,27.5,,445186,733471,0
MB WAREHOUSE L L C,1,21.1,21.1,,350235,466567,0
TERRA PROPERTIES WALDEN LLP,1,60.4,60.4,49.0,1070929,667786,0
BAYVIEW WALKER LLC,1,64.1,64.1,34.0,650377,5555995,0
METROPOLE HILLTOP LLC,1,96.5,96.5,49.0,1512091,3048528,0
RAINIER PLAZA #2 LLC,1,175.2,175.2,72.0,2789475,5079339,0
VALLEY CITIES COUNSELING & CONSULTATION,1,161.3,161.3,,2962313,741486,0
TONG FAMILY PARTNERSHIP,1,5.4,5.4,,0,1019864,0
CSIFV-COLUMBIA CITY LLC,1,4.8,4.8,,5413,854024,0
SEA SELF STORE L L C,1,20.1,20.1,,325542,523840,0
BELL FUND VII JACKSON STREET LLC,1,123.2,123.2,,2080912,2382538,0
HOLGATE 12 LLC,1,0.0,0.0,,0,0,0
USPF LANE LP,1,66.9,66.9,,1044531,2156088,0
DESC ESTEELE SUPPORTIVE HOUSING LP,1,68.3,68.3,85.0,1134287,1514904,0
SOUTHEAST EFFECTIVE DEVELOPMENT,1,395.0,395.0,74.0,6900949,5365582,0
WESTSIDE SCHOOL,1,4.5,4.5,99.0,0,851053,0
RAINIER COURT ASSOCIATES 2002-1,1,257.4,257.4,59.0,4301804,5438349,0
PRATT PARK OWNER LLC,1,237.8,237.8,,3972399,5036102,0
NHCDI/LIHI SQUIRE PARK PLAZA LLC,1,9.7,9.7,99.0,0,1819760,0
JEFFERSON PARK LLC,1,37.1,37.1,,645250,538719,0
DAY 31 LLC,1,70.9,70.9,,1262601,718900,0
PATHFINDER SEATTLE HOLDINGS LLC,1,10.2,10.2,97.0,0,1924245,0
T+C SEATTLE,1,4.1,4.1,81.0,0,764865,0
LESCHI HEIGHTS LLC,1,3.1,3.1,98.0,0,586733,0
TC LAKEFRONT LLC+CG LAKEFRONT LLC+JSP LAKEFRONE I LLC+JSP LAKEFRONT II LLC,1,12.1,12.1,62.0,888,2273501,0
ARTSPACE HIAWATHA LIMITED PARTNERSHP,1,10.9,10.9,49.0,0,2043256,0
WU NADINE+FAN BESSIE,1,2.3,2.3,83.0,0,439266,0
CHE'S CONDOMINIUM LLC,1,3.9,3.9,77.0,0,728194,0
PSJ LLC,1,6.5,6.5,64.0,0,1225040,0
DEAN QOZBP LLC,1,92.8,92.8,7.0,1679512,679415,0
PUGET SOUND EDUCATIONAL SERVICES DISTRICT,1,33.7,33.7,,552949,814038,0
CENTURY HOUSE ASSOCIATES LLC,1,13.5,13.5,38.0,0,2531997,0
BAYWATCH AT MAGNOLIA L L C,1,3.3,3.3,65.0,0,629511,0
FNA INVESTMENTS LLC,1,1.0,1.0,,0,192561,0
COMMODORE II LLC,1,60.4,60.4,56.0,1065524,719291,0
2240 WEST COMMODORE LLC,1,30.5,30.5,1.0,471867,1016823,0
MAXWELL JAMES,1,3.5,3.5,97.0,0,654801,0
PRM PROPERTY MANAGEMENT LLC,1,5.5,5.5,76.0,0,1034899,0
CASA LADARO LLC,1,6.6,6.6,56.0,0,1239320,0
MAGNOLIA CRESTVIEW LLC,1,3.2,3.2,83.0,0,607669,0
MANOR PLACE LLC,1,3.6,3.6,99.0,0,685378,0
LIONS BAY PROPERTIES LLC,1,3.7,3.7,78.0,0,700681,0
STOL SAIDA,1,11.1,11.1,100.0,0,2088334,0
WWJB LLC,1,22.7,22.7,91.0,387416,390664,0
70/47 LLC,1,30.0,30.0,89.0,439488,1250940,0
TEMPO APARTMENTS LLC,1,12.6,12.6,60.0,144843,916026,0
KDLODI LLC,1,3.8,3.8,71.0,0,718539,0
3515 SW OCEAN VIEW DRIVE L L C,1,2.9,2.9,95.0,0,548249,0
CENTURY TWENTY ONE PROMOTIONS,1,12.2,12.2,59.0,205341,237331,0
QWEST CORPORATION+CENTURYLINK QC,1,38.2,38.2,78.0,618974,1006723,0
4019 21ST AVE W INCORPORATED,1,8.5,8.5,80.0,20367,1403481,0
FISHERMANS COMMERCIAL L L C,1,5.3,5.3,72.0,0,997476,0
J&M WHARF LLC,1,3.3,3.3,89.0,0,612576,0
KWMCT REAL ESTATE LLC,1,3.2,3.2,75.0,0,596703,0
COMMODORE WAY LLC,1,4.0,4.0,94.0,1383,740695,0
SALMON BAY INVESTMENT GROUP LLC,1,6.3,6.3,85.0,0,1181135,0
PUBLIC STORAGE PROP XVI INC,1,0.0,0.0,,0,0,0
LAKESHORE DEVELOPMENT ASSOC L P,1,122.4,122.4,,1948964,3556508,0
FRMC LLC,1,280.6,280.6,81.0,4623164,6586228,0
CARKEED PARK PLACE L L C,1,66.4,66.4,81.0,988306,2619222,0
ABC PACIFIC CORPORATION $T,1,158.8,158.8,80.0,2467165,5222458,0
CAPITOL HILL HOUSING IMPROVEME,1,4.3,4.3,74.0,0,811761,0
WESTVIEW ON BEACON HILL LLP,1,142.5,142.5,78.0,2464984,2186719,0
FM 151 SOUTH LANDER LLC,1,27.2,27.2,41.0,438831,731603,0
SEATTLE ARTS PROJECT LLC,1,28.2,28.2,,456166,755984,0
COHANIM 6040 CALI LLC,1,3.0,3.0,99.0,0,557179,0
ATALANTA 5631 CALIFORNIA AVE LLC,1,2.9,2.9,,0,541463,0
VSTONE 36 LLC +5451 CALIFORNIA LLC,1,2.9,2.9,73.0,0,547887,0
BRATVOLD AB LIVING TRUST,1,3.3,3.3,81.0,0,613579,0
CRE 5600 PARTNERS LLC +CRE ELISE LLC,1,3.2,3.2,88.0,0,606328,0
FAUNTLEROY COMMUNITY SERVICE AGENCY,1,175.7,175.7,,3268293,396430,0
R C PATRNERSHIP,1,16.6,16.6,,222723,901744,0
SOUTH TACOMA WAY L L C,1,5.1,5.1,,80886,146210,0
2520 AIRPORT WAY S LLC,1,70.3,70.3,,1298857,255892,0
WSA PROPERTIES VI LLC,1,2.9,2.9,,7700,474558,0
ACES FOUR LLC,1,0.0,0.0,,0,0,0
ELEVATE PROPCO XII LLC,1,31.5,31.5,,569577,240876,0
CREF3 LANDER OWNER LLC,1,24.4,24.4,,0,4588328,0
WSA PROPERTIES XI LLC,1,10.2,10.2,,0,1908815,0
ORE 6525 CALIFORNIA LLC,1,12.8,12.8,,166274,750429,0
EAST MARGINAL INDUSTRIAL LLC,1,269.3,269.3,,3213219,18544810,0
SEATTLE CITY OF ENGINEERING DE,1,77.6,77.6,,1313116,1480784,0
DAKOTA ASSOCIATES LLC,1,18.1,18.1,71.0,326039,143883,0
MERLINO HOLDINGS II L L C,1,5.7,5.7,75.0,90678,170005,0
4400 BUILDING LLC,1,33.7,33.7,82.0,602755,315929,0
PEDERSEN ESTATES INC,1,42.1,42.1,78.0,765183,270596,0
4800 DENVER LLC,1,116.6,116.6,57.0,2161815,327670,0
UV-2225 1ST AVE SOUTH LLC,1,28.4,28.4,,523667,106886,0
1701 FIRST AVENUE SOUTH LLC,1,0.0,0.0,,0,0,0
QG SEATTLE LLC,1,94.5,94.5,35.0,1705225,739874,0
WSA PROPERTIES II LLC,1,28.3,28.3,72.0,498939,341284,0
R & S INVESTMENTS LLC,1,47.3,47.3,80.0,842482,476160,0
A2A LLC,1,19.9,19.9,58.0,345913,290701,0
BRIDGES ANNEX LLC,1,3.4,3.4,93.0,0,641631,0
EECKHOUDT JAMES M,1,3.3,3.3,74.0,0,617468,0
2001 PLUM LLC,1,14.5,14.5,17.0,171069,1023914,0
IFO & ASSOCIATES LLC,1,39.6,39.6,,634157,1121305,0
WASHINGTON STATE OF-DEPT OF COMMERCE,1,182.6,182.6,68.0,1816574,16204216,0
U S WEST COMMUNICATIONS INC,1,77.2,77.2,,1297674,1548747,0
CENTRAL DISTRICT CPDA,1,77.2,77.2,,1188277,2646435,0
MYCON STEVEN C+DEBORAH J,1,0.7,0.7,,0,135125,0
SEATTLE INDIAN HEALTH BOARD,1,9.0,9.0,75.0,0,1694270,0
ACRS COMMUNITY SERVICE CENTER L L C,1,95.8,95.8,84.0,1620254,1832868,0
WCC REALTY LLC,1,17.1,17.1,98.0,0,3214940,0
JACKSON INVESTORS NORTH LLC,1,7.9,7.9,18.0,0,1492162,0
RAINIER ELECTRONIS LLC,1,134.2,134.2,95.0,1751457,7740122,0
ASIAN PACIFIC PROPERTIES L.L.C,1,136.6,136.6,,2396083,1752889,0
HAMLIN ROBINSON SCHOOL,1,6.3,6.3,62.0,0,1177072,0
CATHOLIC COMMUNITY SRVCS,1,23.7,23.7,95.0,348135,977293,0
C J & J PACIFIC L L C,1,36.7,36.7,33.0,586041,1045952,0
1225 MAR LLC,1,25.8,25.8,88.0,335367,1499544,0
BIG RIG LLC,1,3.0,3.0,96.0,0,562788,0
SEATTLE INDIAN SERVICES COMMIS,1,56.9,56.9,88.0,971857,989732,0
WELLSPRING FAMILY SERVICES,1,18.2,18.2,,104163,2380858,0
22ND AVE S LLC,1,13.8,13.8,61.0,153079,1072236,0
1130 RAINIER PROPERTIES LLC,1,12.0,12.0,87.0,0,2254734,0
2100 BUILDING LLC,1,23.5,23.5,29.0,0,4421423,0
EL CNETRO DE LA RAZA,1,115.0,115.0,76.0,2080890,843900,0
MADISONIAN MANAGER LLC,1,84.3,84.3,59.0,1467625,1192932,0
JORVE INVESTMENTS LLC,1,0.0,0.0,,0,0,0
BLAKE ASSOCIATES LLC,1,49.5,49.5,98.0,751844,1803709,0
WEST SEATTLE APARTMENTS & HOMES LLC,1,3.9,3.9,78.0,0,726534,0
HALCYON APARTMENTS LLC,1,3.1,3.1,91.0,0,585116,0
FITZ L L C,1,3.4,3.4,63.0,0,639876,0
6312 CALIFORNIA AVENUE LLC,1,8.1,8.1,63.0,0,1520381,0
COMPASS BROADVIEW LLC,1,54.3,54.3,86.0,906650,1161737,0
YU JUDY,1,3.7,3.7,89.0,0,695462,0
CEDRUS PROPERTIES LLC,1,2.7,2.7,93.0,0,517022,0
REVERB APARTMENTS LLC,1,37.7,37.7,100.0,583234,1256999,0
LIBERTY BANK COMMERCIAL LLC,1,71.7,71.7,97.0,1152012,1970127,0
HYCROFT INTERNATIONAL,1,40.1,40.1,98.0,682434,725119,0
SORENTO ON YESLER OWNER LLC,1,53.4,53.4,100.0,882489,1236828,0
BOREN AND SPRUCE LLC,1,31.9,31.9,96.0,506219,950588,0
YESLER INVESTORS 3 LLC,1,25.0,25.0,100.0,18078,4514352,0
YESLER INVESTORS 2 LLC,1,25.3,25.3,100.0,115025,3612104,0
EAST UNION 22 LLC,1,20.7,20.7,64.0,0,3885739,0
PIKE FLATS LLC,1,32.8,32.8,,508806,1084412,0
1420 EAST MADISON STREET LLC,1,59.2,59.2,89.0,960029,1541219,0
2051 MADISON STREET PARTNERS LLC,1,75.1,75.1,99.0,1259787,1541036,0
GS ZIG LLC,1,88.6,88.6,36.0,1113133,5552163,0
BELLEVUE AVE COVE HOLDINGS LLC + ET AL,1,26.7,26.7,98.0,406719,961726,0
MAD FLATS LLC,1,22.6,22.6,93.0,354892,698598,0
DECIBEL APARTMENTS LLC,1,40.5,40.5,,691878,708161,0
CAPITAL HILL PARTNERS,1,6.1,6.1,,0,1138431,0
PINE & MELROSE LLC,1,142.9,142.9,96.0,2306725,3834010,0
RISE-CG CAPITOL HILL LP,1,92.4,92.4,99.0,1505495,2334452,0
FIRENZE LLC,1,23.1,23.1,99.0,343854,900792,0
TA PIKE MOTORWORKS LLC,1,117.4,117.4,79.0,1681016,5294305,0
TRPF 1525 HARVARD AVENUE LLC,1,57.1,57.1,93.0,886133,1882085,0
CWS ANTHEM LP,1,63.5,63.5,98.0,999344,1958981,0
ASB REO FLATS LLC,1,111.0,111.0,78.0,1850942,2390254,0
954 EAST UNION LLC,1,13.3,13.3,78.0,0,2507904,0
BROADSTONE CAPITAL HILL VENTURE LLC,1,193.4,193.4,100.0,3221716,4190400,0
SEATTLE MADISON LLC,1,10.2,10.2,96.0,0,1920377,0
ASB SUNSET ELECTRIC LLC,1,12.4,12.4,97.0,54406,1781303,0
ENGELMANNII HOUSE LLC,1,33.4,33.4,100.0,541240,875313,0
BARCLAY 118 LLC,1,90.1,90.1,99.0,1518267,1786907,0
BELLWETHER VIEWS LLC,1,216.8,216.8,74.0,3809275,2733787,0
STORAGE EQUITIES INC,1,4.4,4.4,,100,822374,0
19TH AND MADISON LLC,1,29.3,29.3,96.0,208193,3433322,0
NORTHAVEN DEVELOPMENT,1,62.7,62.7,74.0,1101345,790479,0
DDH PARTNERS L L C,1,5.9,5.9,66.0,21008,908675,0
WHITE HEATHER APARTMENTS LLC,1,3.0,3.0,75.0,0,558831,0
GMC LLC,1,8.0,8.0,35.0,0,1508341,0
WORKSHOPS SEATTLE LAKE CITY WAY,1,4.9,4.9,,0,926824,0
NG 295 DEVELOPMENT LLC,1,46.9,46.9,,785958,978727,0
BILLINGS MIDDLE SCHOOL,1,1.7,1.7,,0,321559,0
INDONESIAN FULL GOSPEL FELLOWSHIP OF STATE OF WASHINGTON,1,42.7,42.7,,768507,355278,0
CATHOLIC ARCHBISHOP CORP OF,1,8.3,8.3,88.0,142954,123828,0
PACMED CLINICS,1,13.5,13.5,1.0,0,2547249,0
5TH AVE MEDICAL ASSOCIATES LLC,1,28.4,28.4,65.0,451055,834651,0
SAINT ANNE CORPORATION,1,85.7,85.7,87.0,1548319,647868,0
WELL CA WA LANDLORD LLC,1,63.2,63.2,82.0,1061730,1274723,0
ALJOYA THORNTON PLACE LLC,1,211.6,211.6,93.0,3371938,6123281,0
CRP/CSH NORTHGATE LLC,1,92.6,92.6,57.0,1465139,2777388,0
SPTSUN II PROPERTIES TRUST,1,157.1,157.1,,2723663,2345006,0
GRE FOUNDATION HOUSE LLC,1,74.6,74.6,42.0,1171233,2335522,0
MGP XIV LLC,1,131.0,131.0,53.0,2086170,3807209,0
GRE/NOP FIFTH AVENUE LLC,1,2.6,2.6,100.0,0,497057,0
PAN WASHINGTON LLC,1,296.1,296.1,100.0,4947773,6274733,0
BRFII NORTHGATE LLC,1,33.9,33.9,,204624,4322786,0
INLAND WESTERN SEATTLE NORTHGAGE NORTH LLC,1,380.7,380.7,,5347346,18193245,0
SEATTLE SCHOOL DISTRICT NUMBER 1,1,39.4,39.4,62.0,598047,1430979,0
CHSW HOLDINGS NORTHWEST LLC,1,13.7,13.7,57.0,0,2578840,0
INVESTMENTS PROPERTY AQUISITIONS LLC,1,54.4,54.4,,933583,897188,0
FIRST COVENANT CHURCH OF,1,29.7,29.7,,530722,284082,0
JAMES TOWER LLC,1,4805.6,4805.6,47.0,84872338,56050971,0
UNION GOSPEL MISSION ASSN SEAT,1,39.2,39.2,,720012,189281,0
BASTA MATT J LLC,1,39.9,39.9,58.0,679134,717366,0
PINE & BELMONT LLC,1,85.8,85.8,,1333020,2816268,0
JEFFERSON & 12TH LLC,1,33.0,33.0,97.0,523336,983824,0
MERIDIAN TERRACE APARTMENTS LLC,1,5.2,5.2,92.0,0,981426,0
CASCADIA APARTMENTS C/O CASCADIA APARTMENTS C/O GEMPERLE A RICHARD+MARY BETH,1,14.2,14.2,94.0,218550,484902,0
MARTIN SQUARED L L C,1,34.5,34.5,74.0,542146,1066892,0
VITALITY ON HOWELL LLC,1,22.3,22.3,100.0,380238,389219,0
GORDON VAN BUREN LLC +1711 FELSON PARTNERS LP,1,16.7,16.7,90.0,262517,523928,0
AGNES PISTON L L C,1,99.9,99.9,,1762801,1186991,0
1531 BROADWAY LLC,1,33.3,33.3,97.0,483875,1433315,0
UNION 18 PARTNERS LLC,1,33.2,33.2,64.0,485139,1402708,0
MACRI THERESA,1,16.9,16.9,87.0,272470,448381,0
ARLLIS ARMS APARTMENTS LLC,1,4.2,4.2,59.0,0,784810,0
MADISON COURT PARTNERS LIMITED LIABILITY COMPANY,1,5.8,5.8,77.0,14281,945166,0
UPPER PINE LLC,1,18.5,18.5,,322465,258316,0
PARK ROYAL APARTMENTS LLC,1,3.7,3.7,81.0,0,703992,0
BYRON MICHAEL,1,42.0,42.0,87.0,770324,201411,0
PROJECT S47 LLC,1,102.6,102.6,36.0,1915841,165656,0
GORDON ELYSE,1,69.8,69.8,90.0,1283594,309351,0
COUCH INVESTMENTS IV,1,9.4,9.4,99.0,67092,1102780,0
ST JOHN INVESTORS LLC,1,72.8,72.8,,1288461,819319,0
PIKE STREET TPII LLC,1,26.3,26.3,99.0,423357,717542,0
HYCROFT INTERNATIONAL LLC,1,3.6,3.6,66.0,0,668944,0
PIONEER HUMAN SVCS,1,89.3,89.3,77.0,1624739,558203,0
RIALTO COURT LLC,1,3.4,3.4,92.0,0,639948,0
CRE BUENA VISTA PARTNERS LLC,1,51.5,51.5,87.0,942950,273930,0
MITSUMARU ESTATE CO LTD,1,49.7,49.7,,824343,1119608,0
MORRIS APARTMENTS LLC,1,37.3,37.3,86.0,672039,306775,0
DK SUMMIT PLACE LLC,1,3.7,3.7,89.0,0,703236,0
ABONITA LLC,1,29.1,29.1,75.0,478068,688686,0
LA MAISON ASSOCIATES LLC & WINCHESTER APTS LLC,1,55.3,55.3,89.0,1024363,176114,0
OLIVE TERRACE APARTMENTS LLC,1,5.3,5.3,,0,990712,0
WEINER JERALD DAVID+MARC V -REV TRUST,1,62.1,62.1,90.0,1141969,281076,0
MELROSE & OLIVE LLC,1,20.2,20.2,97.0,320593,598971,0
1011 E TERRACE ST OWNER LLC,1,202.4,202.4,40.0,3557996,2520898,0
1222 EAST MADISON L L C,1,46.1,46.1,96.0,656064,2116412,0
BOYLSTON HOWELL APARTMENTS LLC,1,27.6,27.6,94.0,446499,730487,0
LOTS II L L C,1,112.9,112.9,96.0,1787397,3384755,0
1700 MADISON APARTMENTS LLC,1,27.2,27.2,2.0,0,5122620,0
EQR-PEARL LLC,1,94.2,94.2,86.0,1595259,1782509,0
EQR-PACKARD LLC,1,82.3,82.3,41.0,1355993,1933936,0
OLYMPIAN LLC,1,56.0,56.0,90.0,986205,675175,0
MADISON PLACE AT 19TH L L C,1,4.4,4.4,80.0,0,824658,0
BOYLSTON FLATS LLC,1,37.6,37.6,100.0,628245,801020,0
CHARBERN L L C,1,33.4,33.4,91.0,497866,1302033,0
KISSEL JULIA GUNN,1,85.4,85.4,93.0,1566460,422709,0
SUMMIT HOUSE APARTMENTS REAL ESTATE INVESTMENTS LLC,1,85.1,85.1,94.0,1542020,610430,0
MANCHESTER SERIES 1 LLC,1,99.5,99.5,91.0,1842323,310584,0
DUNN AUTOMOTICE BUILDING LLC,1,41.5,41.5,100.0,607378,1739901,0
SUMMIT ARMS LLC,1,4.6,4.6,61.0,0,870517,0
BURLINGAME PARTNERS L P,1,40.6,40.6,,718745,458300,0
SPRUCE APARTMENTS LLC,1,9.0,9.0,93.0,0,1691740,0
W R P ASSOCIATES OF BELLEVUE,1,7.7,7.7,96.0,0,1452733,0
BATTERY STREET LTD,1,12.8,12.8,95.0,61902,1780410,0
BELLEVUE OLIVE LLC,1,34.9,34.9,95.0,527077,1307949,0
CAPITOL STEPS L.L.C,1,8.5,8.5,69.0,0,1593225,0
BELLEVUE TERRACE L L C,1,4.0,4.0,79.0,0,754159,0
EQR-320 PINE LLC,1,174.1,174.1,56.0,2972109,3053492,0
TEMPLE BETH AM,1,193.2,193.2,57.0,3385905,2522193,0
MOUNT ZION MADISON STREET PROPERTIES,1,7.9,7.9,,0,1491138,0
EQR-MADISON LLC,1,96.9,96.9,100.0,1611163,2123588,0
EQR-CHLOE LLC,1,136.5,136.5,78.0,2266424,3034490,0
KAYKAS-WOLFF JASCHA+REBECCA C,1,11.0,11.0,80.0,62052,1451239,0
GUSTAFSON BELINDA J ET AL,1,3.6,3.6,99.0,0,679248,0
JBJ ALDERVIEW LLC,1,4.0,4.0,84.0,0,751958,0
THE HOUSING AUTHORITY OF THE CITY OF SEATTLE,1,8.3,8.3,77.0,0,1556159,0
TELFORD HOLDINGS INCORPORATED,1,3.9,3.9,58.0,0,740305,0
KIMBERLY APARTMENTS LLC,1,6.3,6.3,71.0,0,1175753,0
LIFE YANCY 653 LLC,1,12.8,12.8,,210955,307385,0
HOME DEPOT USA INC,1,253.4,253.4,81.0,4465402,3055344,0
TRB SEATTLE INC,1,374.3,374.3,70.0,6347361,6984292,0
MGP X AURORA LLC,1,24.9,24.9,,0,4690845,0
SEATTLE CITY OF: C/O SEATTLE CITY LIGHT,1,14.7,14.7,64.0,185403,908139,0
EBERHARTER/MERIDIAN LLC,1,6.2,6.2,64.0,0,1158692,0
THISTLEDOWN LLC  % JULIA L CALHOUN,1,10.5,10.5,11.0,0,1977255,0
TLK PROPERTIES LLC,1,41.5,41.5,72.0,667459,1137419,0
NORTHWAY WEST LLC,1,28.8,28.8,40.0,0,5424428,0
SEATTLE HOTEL INVESTMENT LLC,1,42.7,42.7,99.0,707438,970181,0
NORTHGATE INNS INC,1,119.7,119.7,85.0,2034710,2190859,0
PCK-DLK LLC,1,6.5,6.5,,0,1224081,0
H-P PROPERTIES/ALLSTAR LLC,1,235.0,235.0,,4070674,3533460,0
HULING BROS PROP LLC,1,10.0,10.0,96.0,0,1884564,0
TWENTY-FOUR SAC SELF-STORAGE LP,1,70.6,70.6,,1283543,462910,0
MIRALY PATSM LLC,1,36.9,36.9,62.0,607568,879299,0
PHN WEST SEATTLE LLC +IRONHORSE TO WEST SEATTLE LLC +ET AL,1,50.7,50.7,99.0,772105,1816496,0
NOVA APARTMENTS LLC,1,6.1,6.1,97.0,0,1146214,0
SEACLIFF GOTHARD L L C,1,8.9,8.9,85.0,0,1665239,0
SEACLIFF WESTSIDE II LLC,1,3.4,3.4,93.0,0,642739,0
AVALON WEST PARTNERS LLC,1,3.1,3.1,88.0,0,586404,0
CBYW WEST SEATTLE PROPCO LLC,1,56.0,56.0,78.0,768879,2857271,0
SVF LINK SEATTLE LLC,1,133.7,133.7,100.0,2225008,2925729,0
EVARONE JACK W,1,3.5,3.5,,0,667185,0
SOCKO LLC,1,4.3,4.3,92.0,0,800438,0
HILL CREST WEST SEATTLE LLC,1,8.8,8.8,95.0,0,1656272,0
HUNTINGTON RETIREMENT HOMES,1,51.2,51.2,58.0,717523,2457992,0
BARTON COURT ASSOCIATES LLC,1,4.1,4.1,82.0,0,779222,0
FAIRWAY BUILDING LLC,1,3.3,3.3,86.0,0,620311,0
TALL COMPANY LLC,1,29.0,29.0,100.0,507592,387931,0
ATHENAS OWL LLC,1,0.0,0.0,,0,0,0
RIVIERA NORTHGATE APARTMENTS LLC,1,5.2,5.2,,0,985036,0
RISE PROPERTIES WOODLAND POINTE LP,1,16.5,16.5,41.0,0,3107374,0
RISE PROPERTIES ( CITYWALK)  LP,1,0.0,0.0,,0,0,0
TRISTAR PROPERTIES LLC,1,4.2,4.2,82.0,0,781724,0
COUCH INVESTMENTS II LLC,1,6.9,6.9,76.0,0,1296972,0
OLYMPIC VIEW APARTMENTS LLC,1,3.6,3.6,92.0,0,675179,0
GREENWOOD VISTA LLC,1,17.0,17.0,91.0,273334,465978,0
GREENWOOD WINCHESTER APARTMENTS LLC,1,5.8,5.8,89.0,0,1098456,0
LEILANI AT 124 APARTMENTS LLC,1,5.9,5.9,88.0,0,1111475,0
LUTHERAN ALLIANCE TO CREATE HOUSING,1,5.0,5.0,87.0,0,941378,0
AKI 1 LLC,1,11.1,11.1,,0,2090272,0
YSG HOLDINGS CO,1,4.8,4.8,48.0,0,898142,0
HASHIM JOHN C,1,6.5,6.5,94.0,0,1220431,0
GUSTAVEL JEREMY+CHRISTINE,1,4.5,4.5,95.0,0,855550,0
YSG HOLDINGS CO LTD,1,7.4,7.4,87.0,0,1399470,0
TIME WARPP III LLC,1,2.9,2.9,98.0,0,542019,0
