f,Owning Entity Best Guess (lookup into OwningEntities tab),HQ City,"Assets, $B, Best Guess",Owning Entity Category,Public/Private/Nonprofit/Condo status,"Company Info -- business model, how assets found, etc, incl links to evidence",Sustainability claim (any we happened to find while researching ownership),How Sleuthed. NOTE sheets bug broke hyperlinks. See tab AllSleuthData for links to supporting info,Who sleuthed owner,Sleuth pass,BEPS LegislationPropertyType,PropertyGFABuilding_s_,BuildingName,GHGEmissionsIntensityKgSqFt,TotalGHGEmissions__metric_tons_,June BEPS Target for 2031-2035,,Qualifies for Alt GHGIT,OSEBuildingID,TaxParcelIdentificationNumber,DataYear,BuildingType,Owner,CouncilDistrictCode,Neighborhood,Units,YearBuilt,City,State,ZipCode,Latitude,Longitude,PrimaryPropertyType,ListOfAllPropertyUseTypes,EPAPropertyType,ENERGYSTARScore,YearsENERGYSTARCertified,SiteEUI_kBtu_sf_,SiteEUIWN_kBtu_sf_,SiteEnergyUse_kBtu_,SiteEnergyUseWN_kBtu_,SourceEUI_kBtu_sf_,SourceEUIWN_kBtu_sf_,NaturalGas_kBtu_,NaturalGas_therms_,Electricity_kBtu_,Electricity_kWh_,SteamUse_kBtu_,OtherFuelUse_kBtu_,PropertyGFATotal,PropertyGFAParking,NumberofBuildings,NumberofFloors,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,Outlier,ComplianceIssue,ComplianceStatus,Comments,DefaultData,LegislationPropertyType
521 WALL ST,City University of Seattle,Seattle,N/A,Nonprofit,Nonprofit/Religious Ownership,,,"No indication of who owns the building or it changing hands, but other offices in the building are described by Google as ""Located in City University Seattle""",Alice,3,Mixed Use Property,144118,SIXTH & WALL BUILDING (521 WALL ST),0.3,39,#N/A,#N/A,#N/A,377,697000064,2020,NonResidential,FIFTH & WALL L L C,1,DOWNTOWN,NOT_FOUND,1947,SEATTLE,WA,98121,47.61734,-122.34434,,,Mixed Use Property,91,,34.9,35.5,5272236,5188903,95.1,96.7,230119,2301,4958786,1453337,0,,192630,48512,1,3,College/University,95462,Office,53016,Parking,48199,,No Issue,Compliant,,,Mixed Use Property
2922 WESTERN AVE,Essex Apartment Trust,"San Mateo, CA",12.936,Real Estate Investment,Private Ownership,,,"Found on their portfolio, Wikipedia says they own interest in the same number of apartment complexes on their website",Alex,3,Multifamily Housing,135433,THE AUDREY AT BELLTOWN,0.3,37,0.89,0,FALSE,19682,695000005,2020,Multifamily MR (5-9),BRE-FMCA LLC,7,DOWNTOWN,137,1992,SEATTLE,WA,98121,47.61687,-122.35376,,,Multifamily MR (5-9),94,,29,29.5,3999137,3922105,76.8,78.1,332970,3330,3589134,1051915,0,,188717,53284,1,8,Multifamily Housing,135433,Parking,53284,,,,No Issue,Compliant,,,Multifamily Housing
1511 3RD AVE,Steven Baral,Seattle,,Seattle Real Estate (mom/pop),Private Ownership,Steven is listed as the CEO of Melbourne Towers and his number leads to the LLC. He also is president of the Franka Foundation and has given to many events in the Jewish community. If this is his Twitter account he also seems to have issues with supporting the BLM movement and is very pro-Israel (https://twitter.com/stevebaral),,"Possibly Steven Baral? Steven is listed as CEO of Melbourne Tower and tied to the investments LLC (Doncaster). He also is President of the Franka Foundation, and has articles on his chartitable contributions. Avinoam (maybe his son?) was a pro-Israel activist while at UCLA (https://www.haaretz.com/opinion/2015-03-20/ty-article/.premium/bibis-reelection-a-big-win-for-bds/0000017f-e26c-d9aa-afff-fb7ccc8f0000). If this is his Twitter account he also seems to have issues with supporting the BLM movement (https://twitter.com/stevebaral). Found lanter: UW doc on Melbourne Tower - ""The high-rise was owned by Doncaster Investments c. 2017"", and according to Better Business Bureau, Doncaster's address is 1511 3RD AVE. ",Alice/Alex,3,Office,130893,MELBOURNE TOWER OFF,0.3,36,0.81,0,FALSE,417,1975700465,2020,NonResidential,,7,DOWNTOWN,NOT_FOUND,1927,SEATTLE,WA,98101,47.60987,-122.33824,,,Office,84,,52.6,53.7,6895359,6757990,147.4,150.4,0,0,6757991,1980654,0,,130893,0,1,10,Office,101013,Supermarket/Grocery Store,27377,,,,No Issue,Compliant,,,Office
2815 2ND AVE,Mixed: condominium owners & Madison Marquette,"Washington, DC",6,,Private Ownership,,,"Search on addr+BuidlingName+Seattle+owner finds 2002 article on sale of Bay Vista tsale to an LLC associated with Madison Marquettel, owner of Pacific Place, in 2016. However, another article indicated the sale only involved the commercial space on the bottom floors \of the building, and that the building includes 74 condos.  And Bay Vista is still listed on MM site, so not sold since then.",Alice,3,Multifamily Housing,119701,BAY VISTA OFFICE BUILDING,0.3,30,0.89,0,FALSE,33289,586400000,2020,NonResidential,,7,DOWNTOWN,,1982,SEATTLE,WA,98121,47.61706,-122.35141,,,Office,85,,47.7,47.7,5704786,5704786,133.4,133.4,0,0,5704786,1671977,0,,119701,0,1,24,Office,102878,Retail Store,16823,,,,No Issue,Compliant,,,Multifamily Housing
700 5TH AVE,City of Seattle,Seattle,N/A,"Government (Seattle, UW, etc)",Government,,,"Just to be sure, googled ""City of Seattle Owner""",Alice,3,Office,1195387,SEATTLE MUNICIPAL TOWER,0.2,235,0.81,0,FALSE,357,942000720,2020,Nonresidential COS,SEATTLE CITY OF,1,DOWNTOWN,NOT_FOUND,1990,SEATTLE,WA,98104,47.60501,-122.32988,,,Office,82,,35.9,36.3,44389024,43933288,100.6,101.6,26287,263,43907015,12868410,0,,1354987,159600,1,63,Office,1222878,Parking,275949,,,,No Issue,Compliant,,,Office
1420 5TH AVE,The Blackstone Group,"New York, NY",991,Real Estate Investment,Private Ownership,"According to Wikipedia, ""the largest alternative investment firm in the world"", and ""Blackstone's private equity business has been one of the largest investors in leveraged buyouts in the last decade, while its real estate business has actively acquired commercial real estate.""  Apparently including at least 77 LLCs registered with WA Corporations and Charities, probably each representing a separate owned building.Blackstone's real estate portfolio had a total AUM of approximately $218 billion as of December 31, 2021. Assets $991B according to Blackstone homepage.",,"Googling address, looking up govs on Linked In => Blackstone. 1420 5th is US Bank Center. Biz Journal: sold to Blackstone subsidiary EQ Office.",Alice,1,Office,1023998,US BANK CENTRE,0.2,228,0.81,0,FALSE,402,1975700080,2020,NonResidential,BPP 1420 FIFTH AVE OWNER LLC,7,DOWNTOWN,NOT_FOUND,1989,SEATTLE,WA,98101,47.61054,-122.33466,,,Office,85,,39.2,39.5,43093192,42821868,109.9,110.6,0,0,42821862,12550370,0,,1536606,512608,1,46,Office,1019660,Parking,377046,Other,47271,,No Issue,Compliant,,,Office
925 4TH AVE,TIAA,"New York, NY",1300,Asset Management,Private Ownership,"From wikipedia, asset management with $1 trillion in combined assets under management with holdings in more than 50 countries, and the third-largest commercial real estate manager in the world. The top level org is a nonprofit, but the $$ are pretty much all in for-profit subsidiaries.  ",,"Address is TIAA HQ, & googling ""TIAA 4th and Madison Seattle"" found a wikipedia article stating ownership",Alice,1,Office,888049,FOURTH & MADISON ( IDX TOWER),0.2,192,0.81,0,FALSE,354,942000345,2020,NonResidential,T C 4 & MADISON LLC,7,DOWNTOWN,NOT_FOUND,2002,SEATTLE,WA,98104,47.60549,-122.33319,,,Office,86,,40.5,41,36505736,36103780,113.5,114.8,0,0,36103771,10581410,0,,1052469,164420,1,37,Office,765824,Parking,185581,Financial Office,103478,,No Issue,Compliant,,,Office
800 5TH AVE,The Blackstone Group,"New York, NY",991,Real Estate Investment,Private Ownership,"According to Wikipedia, ""the largest alternative investment firm in the world"", and ""Blackstone's private equity business has been one of the largest investors in leveraged buyouts in the last decade, while its real estate business has actively acquired commercial real estate.""  Apparently including at least 77 LLCs registered with WA Corporations and Charities, probably each representing a separate owned building.Blackstone's real estate portfolio had a total AUM of approximately $218 billion as of December 31, 2021. Assets $991B according to Blackstone homepage.",,"Googling address, looking up govs on Linked In. Biz journal: sold to Blackstone",Alice,1,Office,1047934,BANK OF AMERICA FIFTH AVENUE PLAZA,0.2,191,0.81,0,FALSE,772,942000470,2020,NonResidential,BPP 800 FIFTH PROPERTY OWNER LLC,1,DOWNTOWN,NOT_FOUND,1981,SEATTLE,WA,98104,47.60573,-122.33028,,,Office,85,,35.6,36.2,36585228,35965076,99.5,101.3,0,0,35965073,10540760,0,,1249055,201121,1,42,Office,999310,Parking,224324,Medical Office,12276,,No Issue,Compliant,,,Office
1600 7TH AVE,Clarion Partners,"New York, NY",82.4,Real Estate Investment & Management,Private Ownership,,,Found article on purchase of building,Alex,2,Office,791396,CENTURYLINK: SEATTLE BELL PLAZA,0.2,169,0.81,0,FALSE,328,659000165,2020,NonResidential,CSHV 1600 7TH AVENUE LLC,7,DOWNTOWN,NOT_FOUND,1976,SEATTLE,WA,98101,47.61316,-122.3343,,,Office,95,,43.4,43.5,29220576,29197596,120.9,120.9,277973,2780,28919624,8475857,0,,791396,0,1,33,Office,646533,Parking,77625,Lifestyle Center,17454,,No Issue,Compliant,,,Office
600 UNIVERSITY ST,Washington Holdings,Seattle,1,Real Estate Development and Management,Private Ownership,"WASHINGTON HOLDINGS acquires, develops and manages real estate investments within the western United States. Back of the envelope AUM: Acquired Rio Tech Office Park in San Jose for $170M, and a different $170M R&D property purchase - Tasman Technology Park in Milpitas, Washington Holdings buys San Jose Montague Square for $55.3M. These seem to be pretty typical, but to be VERY conservative, they list 34 properties, say each at $30M, takes us over $1B -- noting that many of these are R&D campuses, hotels, and the like, this is conservative.",,"Google search, address is company headquarters and have property listed, and moreover their business model is real estate investment (ownership) not bulding management for other owners.",Alex,1,Office,757986,ONE UNION SQUARE,0.2,151,0.81,0,FALSE,423,1976700155,2020,NonResidential,UNION SQUARE LIMITED LIABILITY COMPANY,1,DOWNTOWN,NOT_FOUND,1980,SEATTLE,WA,98101,47.60967,-122.33229,,,Office,99,,29.2,29.6,22473780,22157540,80.3,81.4,683883,6839,21473657,6293569,0,,794592,36606,1,36,Office,735372,Parking,36606,Retail Store,12885,,No Issue,Compliant,,,Office
1111 3RD AVE,Unico Properties,Seattle,3,Real Estate Investment & Management,Private Ownership,See AUMCalculations tab for back of the envelope very conservative AUM calculation,"""We build and improve buildings to make them more sustainable and resilient by adopting environmentally friendly strategies, equipment, and processes.""
",Unico listed as Principal,Alice,1,Office,614158,1111 3RD AVE BUILDING,0.2,150,0.81,0,FALSE,351,942000050,2020,NonResidential,SPRING & 1111 THIRD PROPERTY SEA LLC,1,DOWNTOWN,NOT_FOUND,1980,SEATTLE,WA,98101,47.60655,-122.33533,,,Office,78,,45.3,45.9,26353048,25990210,126,127.7,241608,2416,25748603,7546484,0,,776762,162604,1,34,Office,574358,Parking,154947,,,,No Issue,Compliant,,,Office
2001 8TH AVE,Kilroy Realty,"Los Angeles, CA",10.9,Real Estate Investment,Private Ownership,"Assets 10.9B. ""Kilroy Realty Corporation is a self-administered real estate investment trust. The Company operates in office, life science and mixed-use submarkets in the United States. It owns, develops, acquires and manages real estate assets, consisting primarily of properties in Greater Los Angeles, San Diego County, the San Francisco Bay Area, Greater Seattle and Austin, Texas"".",,"Googling ""who owns 2001 8TH AVE seattle"" found this article on acquisition by Kilroy in 2021. Note that just last month (April 2023) Amazon vacated the 70% of the bulding it was leasing.",,3,Office,529375,WEST 8TH,0.2,103,0.81,0,FALSE,334,659000750,2020,NonResidential,KILROY REALTY L P,1,DOWNTOWN,NOT_FOUND,2009,SEATTLE,WA,98121,47.61578,-122.33726,,,Office,94,,33.1,33.4,19471510,19281054,92.6,93.6,0,0,19281055,5650954,0,,758043,228668,1,25,Office,582725,Parking,191082,,,,No Issue,Compliant,,,Office
1191 2ND AVE,Northwood Investors,"Denver, CO",10,Real Estate Investment,Private Ownership,"""Northwood is a privately-owned, employee-held registered investment advisor that was founded in 2006 by John Z. Kukral, former President and CEO of Blackstone Real Estate Advisors.

Northwood employs a fundamental, value-driven investment strategy, pursuing attractive risk-adjusted returns while limiting downside risk. Northwood invests alongside institutional and private clients in a broad range of real estate and real estate-related investment opportunities across the US and Europe, with approximately $10 billion of assets under management as of December 31, 2021.""",,Sold to Northwood by Rockwood Capital in 2022 ,Neal,3,Office,438072,2ND & SENECA BLDS,0.2,97,0.81,0,FALSE,349,942000030,2020,NonResidential,US VI SENECA TOWER LLC +NORTHWOOD INVESTORS LLC,7,DOWNTOWN,NOT_FOUND,1991,SEATTLE,WA,98101,47.60614,-122.33674,,,Office,95,,31.2,31.7,16571555,16298062,86.9,88.3,0,0,16166428,4738109,131634,,635303,197231,1,29,Office,522667,Parking,194435,,,,No Issue,Compliant,,,Office
2101 4TH AVE,Martin Selig Real Estate,Seattle,1.4,Seattle Real Estate - Large,Private Ownership,Owns and Leases commercial real estate properties throughout Seattle.  Martin Selig himself is worth 1.4 according to Forbes. ,,https://martinselig.com/property/fourth-and-blanchard/,Neal,3,Office,427155,FOURTH & BLANCHARD BUILDING,0.2,94,0.81,0,FALSE,373,694000205,2020,NonResidential,SREH 2014 LLC,7,DOWNTOWN,NOT_FOUND,1979,SEATTLE,WA,98121,47.61431,-122.34244,,,Office,79,,40.7,41.4,18051818,17750074,114.1,116,0,0,17750074,5202249,0,,543876,116721,1,24,Office,435626,Parking,93102,,,,No Issue,Compliant,,,Office
1601 5TH AVE,Unico Properties,Seattle,3,Real Estate Investment & Management,Private Ownership,See AUMCalculations tab for back of the envelope very conservative AUM calculation,"""We build and improve buildings to make them more sustainable and resilient by adopting environmentally friendly strategies, equipment, and processes.""
",https://unicoprop.com/properties/westlake-tower/,Neal,3,Mixed Use Property,389150,WESTLAKE TOWER,0.2,92,#N/A,#N/A,#N/A,326,9301500000,2020,NonResidential,,1,DOWNTOWN,NOT_FOUND,1989,SEATTLE,WA,98101,47.61192,-122.33717,,,Office,91,,44.2,44.2,17375758,17375758,123.9,123.9,0,0,17375757,5092543,0,,516342,127192,1,25,Office,392829,Parking,127192,,,,No Issue,Compliant,,,Mixed Use Property
1000 2ND AVE,Martin Selig Real Estate,Seattle,1.4,Seattle Real Estate - Large,Private Ownership,Owns and Leases commercial real estate properties throughout Seattle.  Martin Selig himself is worth 1.4 according to Forbes. ,,,,3,Office,460489,1000 2ND AVENUE BUILDING,0.2,92,0.81,0,FALSE,346,939000475,2020,NonResidential,SELIG HOLDINGS COMPANY LLC,7,DOWNTOWN,NOT_FOUND,1986,SEATTLE,WA,98104,47.60567,-122.33511,,,Office,87,,34.8,34.8,17323962,17323962,97.6,97.6,0,0,17323963,5077363,0,,589921,129432,1,41,Office,486734,Parking,124992,Pre-school/Daycare,10476,,No Issue,Compliant,,,Office
1800 9TH AVE,JP Morgan Asset Management,"New York, NY",837.7,Asset Management,Private Ownership,"""At J.P. Morgan Asset Management we have one key goal: to help our clients build stronger portfolios. And for more than 150 years, we’ve been doing just that — for institutions, intermediaries and individuals alike.""
","""As stewards of the assets entrusted to us by our clients, we take into consideration factors impacting the value of our investments. We are a signatory to the United Nations Principles for Responsible Investing and Net Zero Asset Managers initiative and other initiatives that we believe further the interests of our clients, today and in the future.""
","Address matches their headquarters, SSPF is likely ""Special Situation Property Fund"" which JPMorgan has",Alex,1,Office,339240,1800 9TH AVENUE BUILDING,0.2,83,0.81,0,FALSE,337,660001135,2020,NonResidential,1800 NINTH ACQUISITION LLC,1,DOWNTOWN,NOT_FOUND,1990,SEATTLE,WA,98101,47.61516,-122.33303,,,Office,88,,43.3,44,14934069,14687678,120.7,122.7,102791,1028,14584887,4274586,0,,480840,141600,1,16,Office,311736,Parking,123356,Fitness Center/Health Club/Gym,18239,,No Issue,Compliant,,,Office
520 PIKE ST,Tishman Speyer,"New York, NY",57,Real Estate Investment,Private Ownership,"Real estate investment: buying, buiidling, managing",,"Googling address found company HQ, then googling gov names along with 'Tishman' verified. Found record of sale to Tishman here.",Alice,1,Office,500000,520 PIKE BUILDING,0.2,81,0.81,0,FALSE,406,1975700160,2020,NonResidential,520 PIKE STREET INC,7,DOWNTOWN,NOT_FOUND,1983,SEATTLE,WA,98101,47.61125,-122.33494,,,Office,89,,35.6,36,15345281,15142066,99.6,100.9,0,0,15142067,4437886,0,,500000,0,1,29,Office,411301,Parking,80005,Retail Store,14528,,No Issue,Compliant,,,Office
2601 ELLIOTT AVE,Shorenstein Company,"San Francisco, CA",9.5,Real Estate Investment,Private Ownership,"""Shorenstein is a real estate investment company based in San Francisco that owns interests in 23 million square feet (2.1×106 m2) of office space throughout the United States.""",,Found property on their website,Alex,1,Office,350310,2601 ELLIOTT AVE,0.2,75,0.81,0,FALSE,398,653000250,2020,NonResidential,2601 ELLIOTT OWNER LLC,1,DOWNTOWN,NOT_FOUND,1916,SEATTLE,WA,98121,47.61429,-122.35263,,,Office,84,,38.8,38.8,13178984,13178984,108.1,108.1,99308,993,13079677,3833434,0,,350310,0,1,6,Office,303797,College/University,26900,Restaurant,7666,,No Issue,Compliant,,,Office
701 PIKE ST,CIM Group,"Dallas, TX",32.2,Real Estate Investment,Private Ownership,"""CIM Group is an owner, operator, lender and developer of real assets with broad expertise in real estate, infrastructure and credit. """,,Just googled the property name and one of the first hits was a real estate developer advertising leases for it <https://cimgroup.propertycapsule.com/p/commercial-real-estate-listings/Seattle-WA-98101/oneconventionplaceoffice>,Neal,3,Office,454273,ONE CONVENTION PLACE,0.2,72,0.81,0,FALSE,690,5342900030,2020,NonResidential,SFERS REAL ESTATE CORP FF,1,DOWNTOWN,NOT_FOUND,2001,SEATTLE,WA,98101,47.6115,-122.33278,,,Office,84,,38.7,38.7,13577328,13577328,108.4,108.4,0,0,13577327,3979287,0,,538933,84660,1,23,Office,350811,Parking,108325,,,,No Issue,Compliant,,,Office
1915 TERRY AVE,Seattle Children's Healthcare System,Seattle,N/A,Health Care (nonprofit),Nonprofit/Religious Ownership,Parent organiation for Seattle Childrens Hospital -- Not-for profit health care at multiple Seattle locations. ,,Googled who owned Seattle Children's and its tax status. And street address just to be doubly sure.,Alice,2,Office,274362,SEATTLE CHILDREN'S HOSPITAL RESEARCH BUILDING #2,0.2,65,0.81,0,FALSE,750,660001255,2020,NonResidential,SEATTLE CHILDREN'S HOSPITAL,7,DOWNTOWN,NOT_FOUND,1953,SEATTLE,WA,98101,47.61628,-122.33391,,,Office,90,,32.1,32.4,8894638,8797361,87.4,88.3,377532,3775,8419830,2467711,0,,274362,0,1,7,Office,274362,,,,,,No Issue,Compliant,,,Office
821 2ND AVE,Beacon Capital Partners,"Boston, MA",13,Real Estate Investment,Private Ownership,"Beacon Capital Partners is an American real estate investment firm based in Boston, Massachusetts.",,Blackstone purchased from Beacon Capital in 2017,Neal,3,Office,384302,EXCHANGE BUILDING,0.2,59,0.81,0,FALSE,342,939000335,2020,NonResidential,BPP EXCHANGE BUILDING PROPERY OWNER LLC,1,DOWNTOWN,NOT_FOUND,1929,SEATTLE,WA,98104,47.60403,-122.33497,,,Office,85,,32.5,33.1,12174558,11968669,91.1,92.7,0,0,11164405,3272100,0,,384302,0,1,22,Office,367709,,,,,,No Issue,Compliant,,,Office
201 S JACKSON ST,King County,Seattle,N/A,"Government (Seattle, UW, etc)",Government,,,Found article on King County's buildings in Seattle: https://kingcounty.gov/initiatives/civic-campus-master-plan.aspx,Alex,3,Office,321473,KING STREET CENTER,0.2,57,0.81,0,FALSE,780,5247800795,2020,NonResidential,KING-COUNTY GOVT,1,DOWNTOWN,NOT_FOUND,1998,SEATTLE,WA,98104,47.59878,-122.33088,,,Office,96,,31.2,31.5,10812241,10720021,87.4,88.2,0,0,10720019,3141858,0,,446261,124788,1,8,Office,343400,Parking,114237,,,,No Issue,Compliant,,,Office
1099 STEWART ST,Hudson Pacific Properties,Los Angeles,8.99,Real Estate Investment,Private Ownership,"Wikipedia: Hudson Pacific Properties is a real estate investment trust with 15.8 million square feet of office buildings, 1.5 million square feet of sound stages, and undeveloped rights for 3 million square feet of additional commercial property.","WE'RE COMMITTED TOMINIMIZING OUR FOOTPRINT
 We’re working to embed sustainability into every aspect of our business—whether designing a new property, reimagining a dated building, or managing our existing real estate portfolio. In 2020, we achieved net zero carbon in all operations five years ahead of schedule and set a new science-based goal to reduce absolute greenhouse gas emissions 50% by 2030 (from a 2018 baseline)",Hill7 office building in Seattle's Denny Triangle sold for ...,Alice,1,Office,300115,HILL 7 OFFICE BLDG,0.2,57,0.81,0,FALSE,50036,3374400020,2020,NonResidential,HUDSON 1099 STEWART STREET LLC,1,DOWNTOWN,,2015,SEATTLE,SEATTLE,98101,47.61673,-122.33267,,,Office,88,,34.8,34.8,10649890,10649328,97.3,97.3,6727,67,10642601,3119168,0,,431326,131211,1,11,Office,306291,Parking,107624,,,,No Issue,Compliant,,,Office
705 5TH AVE S,Unico Properties,Seattle,3,Real Estate Investment & Management,Private Ownership,See AUMCalculations tab for back of the envelope very conservative AUM calculation,"""We build and improve buildings to make them more sustainable and resilient by adopting environmentally friendly strategies, equipment, and processes.""
","Found this article citing ownership when sleuthing another unico property, also, it's listed on the Unico website",Alice,3,Office,273185,705 UNION STATION,0.2,57,0.81,0,FALSE,29552,8809700040,2020,NonResidential,GATEWAY KING LLC,1,DOWNTOWN,,2000,SEATTLE,WA,98104,47.59634,-122.32807,,,Office,77,,38.7,38.7,10702677,10702677,108.5,108.5,0,0,10702676,3136775,0,,273185,0,1,11,Office,276293,,,,,,No Issue,Compliant,,,Office
1812 BOREN AVE,Urban Renaissance Group,Seattle,2,Seattle Real Estate - Large,Private Ownership,"""We’re a full-service real estate company. We handle it all, from building acquisition to ground-up development and major renovations to property management and engineering. Having all these disciplines in-house is our competitive advantage."" Note: Joshua Green Corporation (JGC) holds a majority stake, and Jay Green may or may not own most of JGC. See AUMCalculations tab for back of the envelope assets guess.","""We often pursue adaptive reuse for older buildings, including environmental retrofits that comply with LEED standards. Our track record of success in this area has shown that greening existing office buildings is a prudent investment. It improves property performance, both in greater tenant attraction and retention and in reduced operating costs.""",Google address+owner found sale to & development by Touchstone + Touchstone acquired by URG who still list the property,Alice,3,Office,305542,TILT 49 (OFFICE PORTION),0.2,55,0.81,0,FALSE,50240,8647700000,2020,NonResidential,,1,DOWNTOWN,,2017,SEATTLE,SEATTLE,98101,47.61698,-122.33195,,,Office,93,,29.6,29.6,9047997,9034479,82,82,145136,1451,8889345,2605318,0,,305542,0,1,11,Office,305542,Parking,113154,,,,No Issue,Compliant,,,Office
605 5TH AVE S,CBRE,"Dallas, TX",149.3,Seattle Real Estate - Large,Private Ownership,"""Trammell Crow Company is a global real estate development firm. It has been a subsidiary of CBRE Group since 2006. ""CBRE Group, Inc. is an American commercial real estate services and investment firm. The abbreviation CBRE stands for Coldwell Banker Richard Ellis. It is the world's largest commercial real estate services and investment firm"".  Also see https://www.cbre.com/press-releases/cbre-commits-to-net-zero-by-2040",,Property is listed on their portfolio and is managed by them,Alex,3,Office,268130,605 UNION STATION,0.2,55,0.81,0,FALSE,29550,8809700040,2020,NonResidential,GATEWAY KING LLC,1,DOWNTOWN,,2000,SEATTLE,WA,98104,47.59705,-122.32813,,,Office,83,,38.1,38.1,10227586,10227586,106.7,106.7,13779,138,10213805,2993495,0,,268130,0,1,11,Office,268130,,,,,,No Issue,Compliant,,,Office
300 5TH AVE,Martin Selig Real Estate,Seattle,1.4,Seattle Real Estate - Large,Private Ownership,Owns and Leases commercial real estate properties throughout Seattle.  Martin Selig himself is worth 1.4 according to Forbes. ,,,Alice,1,Office,275166,FIFTH & YESLER BLDG.,0.2,53,0.81,0,FALSE,815,942001155,2020,NonResidential,300 FIFTH AVENUE LLC,3,DOWNTOWN,NOT_FOUND,2009,SEATTLE,WA,98104,47.60214,-122.32726,,,Office,91,,31.9,31.9,10024400,10024400,89.4,89.4,0,0,10024401,2937984,0,,413264,138098,1,17,Office,313851,Parking,88358,,,,No Issue,Compliant,,,Office
2901 3RD AVE,Martin Selig Real Estate,Seattle,1.4,Seattle Real Estate - Large,Private Ownership,Owns and Leases commercial real estate properties throughout Seattle.  Martin Selig himself is worth 1.4 according to Forbes. ,,"Same biz name & principals as in prev search, and biz name & principals are a well-known firm.",Alice,3,Office,272410,THIRD AND BROAD BLDG,0.2,52,0.81,0,FALSE,375,695000335,2020,NonResidential,SELIG HOLDINGS COMPANY LLC,7,DOWNTOWN,NOT_FOUND,1982,SEATTLE,WA,98121,47.6182,-122.352,,,Office,92,,34.2,34.2,9799866,9799866,95.8,95.8,0,0,9799868,2872177,0,,396626,124216,1,6,Office,286524,Parking,114580,,,,No Issue,Compliant,,,Office
2301 5TH AVE,Hudson Pacific Properties,Los Angeles,8.99,Real Estate Investment,Private Ownership,"Wikipedia: Hudson Pacific Properties is a real estate investment trust with 15.8 million square feet of office buildings, 1.5 million square feet of sound stages, and undeveloped rights for 3 million square feet of additional commercial property.","WE'RE COMMITTED TOMINIMIZING OUR FOOTPRINT
 We’re working to embed sustainability into every aspect of our business—whether designing a new property, reimagining a dated building, or managing our existing real estate portfolio. In 2020, we achieved net zero carbon in all operations five years ahead of schedule and set a new science-based goal to reduce absolute greenhouse gas emissions 50% by 2030 (from a 2018 baseline)","Is on their portfolio, LLC has Hudson in the name",Alex,3,Office,203880,5TH & BELL BUILDING,0.2,51,0.81,0,FALSE,376,696000175,2020,NonResidential,HUDSON 5TH + BELL LLC,1,DOWNTOWN,NOT_FOUND,2002,SEATTLE,WA,98121,47.61598,-122.34369,,,Office,84,,47.1,47.1,9489345,9489345,131.8,131.8,0,0,9489345,2781168,0,,287471,83591,1,6,Office,198453,Parking,81943,"Personal Services (Health/Beauty, Dry Cleaning, etc)",3211,,Account Requires Verification,Not Compliant,,,Office
2611 ALASKAN WAY,Port of Seattle,Seattle,,"Government (Seattle, UW, etc)",Government,"""The Port of Seattle is a government agency overseeing the seaport of Seattle, Washington, United States as well as Seattle–Tacoma International Airport.[1] With a portfolio of properties ranging from parks and waterfront real estate, to one of the largest airports and container terminals on the West Coast, the Port of Seattle is one of the Pacific Northwest's leading economic engines.""",,Have Pier 69 on their website,Alex,3,Office,187130,PIER 69,0.2,45,0.81,0,FALSE,709,7666202295,2020,NonResidential,PORT OF SEATTLE,1,DOWNTOWN,NOT_FOUND,1993,SEATTLE,WA,98121,47.614,-122.35375,,,Office,61,,43.8,44.7,8540523,8364874,122.5,125.1,0,0,8364876,2451605,0,,187130,0,1,3,Office,162616,Transportation Terminal/Station,17460,Non-Refrigerated Warehouse,7261,,No Issue,Compliant,,,Office
2400 4TH AVE,Essex Apartment Trust,"San Mateo, CA",12.936,Real Estate Investment,Private Ownership,,,"Found on their portfolio, Wikipedia says they own interest in the same number of apartment complexes on their website",Alex,3,Multifamily Housing,254309,FOUNTAIN COURT,0.2,44,0.89,0,FALSE,19918,696000250,2020,Multifamily MR (5-9),ESSEX PORTFOLIO LP,7,DOWNTOWN,320,1998,SEATTLE,WA,98121,47.6165,-122.34512,,,Multifamily MR (5-9),95,,24.9,25.4,7048206,6930642,68.9,70,148633,1486,6782009,1987693,0,,328947,74638,1,6,Multifamily Housing,277950,,,,,,No Issue,Compliant,,,Multifamily Housing
