,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,OSEBuildingID,BuildingName,BuildingType,Type_of_Bulding,PropertyGFATotal,PropertyGFABuilding(s),PropertyGFAParking,Total_sqft,percent_sqft_1st,percent_sqft_2nd,percent_sqft_3rd,LargestPropertyUseType,LargestPropertyUseType OSE,LargestPropertyUseTypeGFA,LargestPropertyUseTypeGFA Analysis,SecondLargestPropertyUseType,SecondLargestPropertyUseType OSE,SecondLargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA Analysis,ThirdLargestPropertyUseType,ThirdLargestPropertyUseType OSE,ThirdLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA Analysis,Electricity(kBtu),Steam(kBtu),NaturalGas(kBtu),TotalGHGEmissions,GHGEmissionsIntensity,Total_GFA,sq_ft_classification
2236,2236,2236,2236,24976,SUNRAY APTS,Multifamily LR (1-4),Multifamily,41280,41280,0,41280,1.0,0.0,0.0,Transportation Terminal/Station,Entertainment/Public Assembly,41280,41280,,,0,0,,,0,0,1203683,0,0,7.4,0.2,41280,D
2237,2237,2237,2237,24987,SUNSET WEST PHASE II CONDOMINIUM,Multifamily MR (5-9),Multifamily,23420,20529,2891,20529,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,20529,20529,Parking,,2891,0,,,0,0,410632,0,0,2.5,0.1,23420,E
2240,2240,2240,2240,24994,DING HOW SHOPPING CENTER,NonResidential,NonResidential,36140,36140,0,34733,1.0,0.0,0.0,Other,Other,34733,34733,,,0,0,,,0,0,4891460,0,0,30.2,0.8,34733,D
2241,2241,2241,2241,25000,WAREHOUSE,NonResidential,NonResidential,47963,26579,21384,29640,1.0,0.0,0.0,Other - Mall,Retail Store,29640,29640,Parking,,6000,0,,,0,0,2046962,0,3308474,188.3,7.1,35640,E
2242,2242,2242,2242,25001,ECONO MINI,NonResidential,NonResidential,23903,23903,0,22850,0.8,0.2,0.0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,18350,18350,Worship Facility,Worship Facility,4500,4500,,,0,0,166867,0,357566,20.0,0.8,22850,E
2243,2243,2243,2243,25002,ROOSEVELT SELF STORAGE,NonResidential,NonResidential,22522,22522,0,22522,1.0,0.0,0.0,Self-Storage Facility,Self-Storage Facility,22522,22522,,,0,0,,,0,0,129195,0,869204,47.0,2.1,22522,E
2244,2244,2244,2244,25004,PENN HALL APTS,Multifamily LR (1-4),Multifamily,38959,38959,0,38959,1.0,0.0,0.0,Self-Storage Facility,Self-Storage Facility,38959,38959,,,0,0,,,0,0,530736,0,348195,21.8,0.6,38959,D
2245,2245,2245,2245,25006,HONEYSUCKLE APTS,Multifamily LR (1-4),Multifamily,27840,20809,7031,20809,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,20809,20809,Parking,,7031,0,,,0,0,325172,0,341845,20.2,1.0,27840,E
2246,2246,2246,2246,25025,1801 RAINIER AVE S (ID25025),NonResidential,NonResidential,20739,20739,0,17628,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,17628,17628,,,0,0,,,0,0,787098,0,0,4.9,0.2,17628,F
2247,2247,2247,2247,25028,JEFFERSON PK APTS,Multifamily LR (1-4),Multifamily,25955,25955,0,25955,0.55,0.34,0.12,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,14150,14150,Other - Services,Services,8745,8745,Office,Office,3060,3060,112081,0,0,0.7,0.0,25955,E
2248,2248,2248,2248,25042,ALAN FRIEDMAN BUILDING,NonResidential,NonResidential,25120,25120,0,25120,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,25120,25120,,,0,0,,,0,0,312299,0,261290,15.8,0.6,25120,E
2249,2249,2249,2249,25046,BEACON TOWER APTS,Multifamily HR (10+),Multifamily,33332,33332,0,33332,1.0,0.0,0.0,Residential Care Facility,Residence Hall/Dormitory,33332,33332,,,0,0,,,0,0,720887,0,1074980,61.5,1.8,33332,D
2251,2251,2251,2251,25053,SANDPOINTER CONDOMINIUM,Multifamily LR (1-4),Multifamily,36383,29353,7030,29353,0.86,0.14,0.0,Multifamily Housing,Multifamily Housing,25153,25153,Office,Office,4200,4200,Parking,,0,0,639987,0,397702,25.1,0.9,29353,E
2254,2254,2254,2254,25056,SAUSALITO CONDOMINIUM,Multifamily MR (5-9),Multifamily,54238,54238,0,42377,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,42377,42377,,,0,0,,,0,0,1306675,0,664,8.1,0.1,42377,D
2255,2255,2255,2255,25061,4730 CALIFORNIA APARTMENTS,Multifamily MR (5-9),Multifamily,41310,41310,0,41310,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,41310,41310,,,0,0,,,0,0,965518,0,449107,29.8,0.7,41310,D
2259,2259,2259,2259,25076,MELROSE EAST CONDOMINIUM,Multifamily MR (5-9),Multifamily,46100,46100,0,46100,1.0,0.0,0.0,K-12 School,K-12 School,46100,46100,Parking,,0,0,,,0,0,977047,0,669653,71.2,1.5,46100,D
2261,2261,2261,2261,25080,MERCER WEST CONDOMINIUM,Multifamily HR (10+),Multifamily,20506,20506,0,20506,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,20506,20506,,,0,0,,,0,0,547250,0,0,3.4,0.2,20506,E
2262,2262,2262,2262,25086,ALOHA HOUSE APARTMENTS,Multifamily LR (1-4),Multifamily,52334,52334,0,43610,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,43610,43610,,,0,0,,,0,0,1159002,0,0,7.1,0.1,43610,D
2263,2263,2263,2263,25092,SPENCER HOUSE APTS,Multifamily LR (1-4),Multifamily,48423,43172,5251,31576,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,31576,31576,Parking,,9377,0,,,0,0,589673,0,0,3.6,0.1,40953,D
2264,2264,2264,2264,25110,NorthLink Apartments,Multifamily LR (1-4),Multifamily,20980,15826,5154,16980,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,16980,16980,Parking,,4000,0,,,0,0,382210,0,0,2.4,0.1,20980,F
2265,2265,2265,2265,25111,SIERRA ON GREENWOOD (11222),Multifamily LR (1-4),Multifamily,30200,23529,6671,31470,0.91,0.0,0.09,Multifamily Housing,Multifamily Housing,28521,28521,Parking,,14175,0,Office,Office,2949,2949,1300582,0,0,8.0,0.3,45645,D
2266,2266,2266,2266,25115,BETHEL PRESBYTERIAN CHURCH,NonResidential,NonResidential,28190,20686,7504,0,0.0,0.0,0.0,,,0,0,,,0,0,,,0,0,0,0,0,0.0,0.0,0,F
2267,2267,2267,2267,25122,THE VIEWS AT MADISON (2),Multifamily MR (5-9),Multifamily,21936,21936,0,21936,1.0,0.0,0.0,Worship Facility,Worship Facility,21936,21936,,,0,0,,,0,0,82611,0,591006,31.9,1.5,21936,E
2269,2269,2269,2269,25127,LAKEVIEW PLACE,Multifamily MR (5-9),Multifamily,25406,25406,0,25406,1.0,0.0,0.0,"Personal Services (Health/Beauty, Dry Cleaning, etc)",Services,25406,25406,,,0,0,,,0,0,1796992,0,687260,47.6,1.9,25406,E
2270,2270,2270,2270,25128,VILLA COSTELLA CONDOMINIUM,Multifamily LR (1-4),Multifamily,30517,24441,6076,24441,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,24441,24441,Parking,,6076,0,,,0,0,606829,0,0,3.7,0.2,30517,E
2271,2271,2271,2271,25129,THE PARK AT NORTHGATE APARTMENTS,Multifamily LR (1-4),Multifamily,25368,25368,0,25368,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,25368,25368,,,0,0,,,0,0,577678,0,292707,19.1,0.8,25368,E
2273,2273,2273,2273,25131,VILLAGE SQUARE CONDOMINIUM,Multifamily LR (1-4),Multifamily,37760,37760,0,37760,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,37760,37760,,,0,0,,,0,0,1040799,0,0,6.4,0.2,37760,D
2276,2276,2276,2276,25144,GREENWOOD VISTA,Multifamily LR (1-4),Multifamily,37580,22344,15236,37580,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,37580,37580,Parking,,15236,0,,,0,0,1080681,0,0,6.7,0.3,52816,D
2277,2277,2277,2277,25149,GENESEE PARK APTS,Multifamily MR (5-9),Multifamily,25914,25914,0,25914,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,25914,25914,,,0,0,,,0,0,473483,0,301395,18.9,0.7,25914,E
2278,2278,2278,2278,25160,LA TERRAZZA CONDOMINIUM,Multifamily MR (5-9),Multifamily,42090,36765,5325,42090,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,42090,42090,,,0,0,,,0,0,1174489,0,0,7.2,0.2,42090,D
2280,2280,2280,2280,25165,SDOT Traffic Shop,Nonresidential COS,NonResidential,30000,30000,0,30000,1.0,0.0,0.0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,30000,30000,Parking,,0,0,,,0,0,359144,0,2834151,152.7,5.1,30000,E
2281,2281,2281,2281,25166,GARDEN TERRACE APTS,Multifamily LR (1-4),Multifamily,45036,45036,0,41939,0.5,0.34,0.16,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,21110,21110,"Repair Services (Vehicle, Shoe, Locksmith, etc)",Services,14074,14074,Office,Office,6755,6755,1068550,0,1034700,61.5,1.4,41939,D
2282,2282,2282,2282,25169,QUINAULT APTS,Multifamily LR (1-4),Multifamily,24664,24664,0,24664,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,24664,24664,,,0,0,,,0,0,685267,0,0,4.2,0.2,24664,E
2283,2283,2283,2283,25170,CIRQUE APTS,Multifamily LR (1-4),Multifamily,34580,34580,0,34580,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,34580,34580,,,0,0,,,0,0,302612,0,3250628,174.5,5.0,34580,D
2284,2284,2284,2284,25172,EAST MERCER APARTMENTS,Multifamily MR (5-9),Multifamily,27580,24141,3439,27580,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,27580,27580,,,0,0,,,0,0,510815,0,433091,26.2,1.1,27580,E
2285,2285,2285,2285,25175,SHEFFIELD APARTMENTS,Multifamily LR (1-4),Multifamily,40721,40721,0,40721,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,40721,40721,,,0,0,,,0,0,1098215,0,0,6.8,0.2,40721,D
2286,2286,2286,2286,25177,VICEROY APTS,Multifamily LR (1-4),Multifamily,41396,41396,0,41396,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,41396,41396,,,0,0,,,0,0,1190467,0,0,7.3,0.2,41396,D
2287,2287,2287,2287,25181,MARYLAND CO-OP APT,Multifamily LR (1-4),Multifamily,41241,35123,6118,35123,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,35123,35123,Parking,,0,0,,,0,0,302741,0,1780527,96.4,2.7,35123,D
2288,2288,2288,2288,25182,CAPITOL PARK APTS,Multifamily HR (10+),Multifamily,22532,22532,0,22532,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,22532,22532,,,0,0,,,0,0,457186,0,273940,17.4,0.8,22532,E
2290,2290,2290,2290,25185,THE EDGE,Multifamily LR (1-4),Multifamily,21407,21407,0,21407,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,21407,21407,,,0,0,,,0,0,157211,0,1144802,61.8,2.9,21407,E
2291,2291,2291,2291,25186,CAPITOLA,Multifamily LR (1-4),Multifamily,63505,48155,15350,39864,0.99,0.0,0.01,Multifamily Housing,Multifamily Housing,39664,39664,Parking,,18240,0,Office,Office,200,200,1154790,0,0,7.1,0.1,58104,D
2292,2292,2292,2292,25187,THE DE SELM APTS,Multifamily LR (1-4),Multifamily,35647,35647,0,35647,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,35647,35647,,,0,0,,,0,0,567322,0,1739451,95.9,2.7,35647,D
2293,2293,2293,2293,25196,HAMPTON COURT APARTMENTS,Multifamily LR (1-4),Multifamily,22284,20356,1928,20356,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,20356,20356,Parking,,1928,0,,,0,0,451220,0,318932,19.7,1.0,22284,E
2294,2294,2294,2294,25199,CASANITA APTS,Multifamily LR (1-4),Multifamily,35656,35656,0,35656,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,35656,35656,,,0,0,,,0,0,631127,0,604563,36.0,1.0,35656,D
2295,2295,2295,2295,25200,PARK MANOR APTS,Multifamily MR (5-9),Multifamily,20640,20640,0,20640,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,20640,20640,,,0,0,,,0,0,166320,0,1690153,90.8,4.4,20640,E
2296,2296,2296,2296,25202,WASHINGTON COURT,Multifamily LR (1-4),Multifamily,42182,42182,0,42182,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,42182,42182,,,0,0,,,0,0,471874,0,2018964,110.1,2.6,42182,D
2297,2297,2297,2297,25215,OAK RIDGE CONDOMINIUM,Multifamily LR (1-4),Multifamily,32288,24480,7808,24480,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,24480,24480,Parking,,7808,0,,,0,0,674579,0,0,4.2,0.2,32288,E
2298,2298,2298,2298,25217,SCHMITZ PARK ELEM SCHOOL (SPS-DISTRICT),SPS-District K-12,Campus,31488,31488,0,29248,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,29248,29248,Parking,,6558,0,,,0,0,604959,0,0,3.7,0.1,35806,E
2299,2299,2299,2299,25218,SOUND CREST APTS-24 UNITS,Multifamily LR (1-4),Multifamily,51410,51410,0,43346,1.0,0.0,0.0,K-12 School,K-12 School,43346,43346,,,0,0,,,0,0,255071,0,949139,52.0,1.0,43346,D
2300,2300,2300,2300,25220,OLD COLONY CONDOMINIUM,Multifamily LR (1-4),Multifamily,31457,27272,4185,27272,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,27272,27272,Parking,,4185,0,,,0,0,548864,0,0,3.4,0.1,31457,E
2301,2301,2301,2301,25222,OLIVE 8 (MIXED USE),NonResidential,NonResidential,43162,43162,0,43162,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,43162,43162,,,0,0,,,0,0,1023945,0,0,6.3,0.1,43162,D
2303,2303,2303,2303,25235,COLLEGE STREET APTS,Multifamily LR (1-4),Multifamily,20790,20790,0,20790,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,20790,20790,,,0,0,,,0,0,556752,0,0,3.4,0.2,20790,E
2304,2304,2304,2304,25240,VERGE CONDOMINIUM,Multifamily LR (1-4),Multifamily,42312,30649,11663,26052,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,26052,26052,Parking,,11653,0,,,0,0,1212634,0,0,7.5,0.2,37705,E
2305,2305,2305,2305,25241,VERIDIAN COVE CONDOMINIUM,Multifamily LR (1-4),Multifamily,53919,53919,0,44009,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,44009,44009,,,0,0,,,0,0,1150420,0,0,7.1,0.1,44009,D
2307,2307,2307,2307,25243,VERTIGO,Multifamily MR (5-9),Multifamily,27317,27317,0,22755,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,22755,22755,,,0,0,,,0,0,747521,0,0,4.6,0.2,22755,E
2308,2308,2308,2308,25245,VICTORIA CONDOMINIUM,Multifamily LR (1-4),Multifamily,28922,28922,0,28922,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,28922,28922,,,0,0,,,0,0,920895,0,0,5.7,0.2,28922,E
2310,2310,2310,2310,25250,SEATTLE PACIFIC UNIVERSITY - Student Union Building,NonResidential,NonResidential,44352,44352,0,44352,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,44352,44352,,,0,0,,,0,0,962586,0,1179091,68.6,1.5,44352,D
2313,2313,2313,2313,25266,TROWBRIDGE APTS,Multifamily LR (1-4),Multifamily,31680,31680,0,31680,1.0,0.0,0.0,Senior Care Community,Senior Living Community,31680,31680,,,0,0,,,0,0,1340160,0,1034791,63.2,2.0,31680,D
2314,2314,2314,2314,25268,LANDMARK BUILDING,NonResidential,NonResidential,21303,21303,0,21303,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,21303,21303,,,0,0,,,0,0,603216,0,0,3.7,0.2,21303,E
2315,2315,2315,2315,25269,MEADOWBROOK VIEW FAMILY HOUSING,Multifamily MR (5-9),Multifamily,23022,23022,0,23022,1.0,0.0,0.0,Office,Office,23022,23022,,,0,0,,,0,0,799589,0,253184,18.4,0.8,23022,E
2316,2316,2316,2316,25275,PLYMOUTH INC.,NonResidential,NonResidential,57756,50192,7564,44854,0.99,0.0,0.01,Multifamily Housing,Multifamily Housing,44604,44604,Parking,,9400,0,Office,Office,250,250,1608411,0,0,9.9,0.2,54254,D
2317,2317,2317,2317,25276,PEDERSEN RENTALS,NonResidential,NonResidential,27263,27263,0,27200,0.81,0.1,0.09,Refrigerated Warehouse,Refrigerated Warehouse,22000,22000,Other,Other,2700,2700,Office,Office,2500,2500,0,0,0,0.0,0.0,27200,E
2318,2318,2318,2318,25277,LEDUC PACKAGING INC,NonResidential,NonResidential,31569,31569,0,33000,1.0,0.0,0.0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,33000,33000,,,0,0,,,0,0,683864,0,2239980,123.2,3.9,33000,D
2319,2319,2319,2319,25278,4400 Building,NonResidential,NonResidential,22509,22509,0,22509,1.0,0.0,0.0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,22509,22509,,,0,0,,,0,0,148717,0,0,0.9,0.0,22509,E
2320,2320,2320,2320,25295,LAKE CITY PLACE,Multifamily LR (1-4),Multifamily,39984,39984,0,39984,0.78,0.22,0.0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,31184,31184,Office,Office,8800,8800,,,0,0,315094,0,562817,31.8,0.8,39984,D
2321,2321,2321,2321,25299,M.L. KING WAY APTS,Multifamily LR (1-4),Multifamily,55977,39433,16544,45428,0.87,0.13,0.0,Multifamily Housing,Multifamily Housing,39433,39433,Office,Office,5995,5995,Parking,,2000,0,1163037,0,0,7.2,0.2,47428,D
2323,2323,2323,2323,25305,MERCER COURT APARTMENTS,Multifamily LR (1-4),Multifamily,20844,20844,0,20857,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,20857,20857,,,0,0,,,0,0,507149,0,0,3.1,0.1,20857,E
2324,2324,2324,2324,25317,LOWELL ELEMENTARY (SPS-DISTRICT),SPS-District K-12,Campus,26578,18513,8065,18581,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,18581,18581,Parking,,6160,0,,,0,0,519621,0,430571,26.1,1.4,24741,F
2326,2326,2326,2326,25323,SWANSONIA APTS,Multifamily LR (1-4),Multifamily,24620,24620,0,24620,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,24620,24620,,,0,0,,,0,0,787468,0,0,4.9,0.2,24620,E
2327,2327,2327,2327,25324,THE HARRISON,Multifamily LR (1-4),Multifamily,21512,21512,0,16379,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,16379,16379,,,0,0,,,0,0,373057,0,301391,18.3,0.9,16379,F
2328,2328,2328,2328,25325,ALL PILGRIMS CHRISTIAN CHURCH,NonResidential,NonResidential,32960,32960,0,32960,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,32960,32960,,,0,0,,,0,0,143966,0,76345,4.9,0.1,32960,D
2329,2329,2329,2329,25326,PORTAGE BAYSHORE CONDOMINIUM,Multifamily LR (1-4),Multifamily,26440,26440,0,26440,1.0,0.0,0.0,Worship Facility,Worship Facility,26440,26440,,,0,0,,,0,0,217082,0,611719,33.8,1.3,26440,E
2330,2330,2330,2330,25327,PORTAL OVER LAKE UNION CONDOMINIUM,Multifamily MR (5-9),Multifamily,21312,21312,0,21312,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,21312,21312,,,0,0,,,0,0,839271,0,0,5.2,0.2,21312,E
2332,2332,2332,2332,25335,STONEHEDGE APARTMENTS,Multifamily LR (1-4),Multifamily,21871,15092,6779,12656,0.84,0.0,0.16,Multifamily Housing,Multifamily Housing,10608,10608,Parking,,6729,0,Other,Other,2048,2048,698718,0,0,4.3,0.3,19385,F
2334,2334,2334,2334,25338,OLYMPIC PARK CONDOMINIUM,Multifamily LR (1-4),Multifamily,40281,40281,0,32092,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,32092,32092,,,0,0,,,0,0,937079,0,0,5.8,0.1,32092,D
2335,2335,2335,2335,25340,OLYMPIC PLAZA CONDOMINIUM,Multifamily MR (5-9),Multifamily,42084,42084,0,37183,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,37183,37183,,,0,0,,,0,0,1029384,0,0,6.3,0.2,37183,D
2336,2336,2336,2336,25348,ONE ELEVEN THE CONDOMINIUM,Multifamily MR (5-9),Multifamily,23026,19828,3198,21107,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,21107,21107,Parking,,3198,0,,,0,0,491414,0,0,3.0,0.2,24305,E
2339,2339,2339,2339,25358,ONE WEST CONDOMINIUM,Multifamily LR (1-4),Multifamily,22392,22392,0,22392,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,22392,22392,Parking,,3738,0,,,0,0,538492,0,0,3.3,0.1,26130,E
2340,2340,2340,2340,25360,WEDGEWOOD ESTATES (ALL 13 BLDGS COMBINED),Multifamily LR (1-4),Multifamily,30333,30333,0,30333,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,30333,30333,Parking,,7583,0,,,0,0,186666,0,0,1.2,0.0,37916,D
2342,2342,2342,2342,25362,ONYX CONDOMINIUM,Multifamily MR (5-9),Multifamily,43578,43578,0,38204,1.0,0.0,0.0,K-12 School,K-12 School,38204,38204,,,0,0,,,0,0,489326,0,964852,54.3,1.2,38204,D
2344,2344,2344,2344,25368,VINE BUILDING THE,Multifamily HR (10+),Multifamily,28800,28800,0,28800,1.0,0.0,0.0,Self-Storage Facility,Self-Storage Facility,28800,28800,,,0,0,,,0,0,616425,0,573022,34.2,1.2,28800,E
2346,2346,2346,2346,25386,EAGLE COURT APTS,Multifamily LR (1-4),Multifamily,28500,28500,0,31100,1.0,0.0,0.0,K-12 School,K-12 School,31100,31100,,,0,0,,,0,0,735706,0,533505,32.9,1.2,31100,D
2347,2347,2347,2347,25401,NORTH ROOSEVELT APARTMENTS,Multifamily LR (1-4),Multifamily,29581,24882,4699,24882,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,24882,24882,Parking,,0,0,,,0,0,529145,0,261910,17.2,0.7,24882,E
2348,2348,2348,2348,25407,MARKET COURT CONDOMINIUM,Multifamily MR (5-9),Multifamily,24288,24288,0,24288,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,24288,24288,,,0,0,,,0,0,656850,0,0,4.0,0.2,24288,E
2352,2352,2352,2352,25416,MARSELLE,Multifamily MR (5-9),Multifamily,39090,38171,919,34584,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,34584,34584,Parking,,18408,0,,,0,0,1293604,0,0,8.0,0.2,52992,D
2354,2354,2354,2354,25419,PELICAN BAY ARTS CO-OP,Multifamily LR (1-4),Multifamily,20736,20736,0,20763,0.92,0.08,0.0,Multifamily Housing,Multifamily Housing,19200,19200,Other,Other,1563,1563,,,0,0,444038,0,0,2.7,0.1,20763,E
2355,2355,2355,2355,25425,MATAE BELLTOWN,Multifamily MR (5-9),Multifamily,29243,29243,0,24852,0.71,0.18,0.12,Multifamily Housing,Multifamily Housing,17552,17552,Other,Other,4375,4375,Restaurant,Restaurant,2925,2925,612333,0,808999,46.7,1.6,24852,E
2357,2357,2357,2357,25427,"MAX,THE",Multifamily LR (1-4),Multifamily,46351,40597,5754,40597,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,40597,40597,,,0,0,,,0,0,969321,0,0,6.0,0.1,40597,D
2358,2358,2358,2358,25428,MAXWELL,Multifamily MR (5-9),Multifamily,36666,30174,6492,30174,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,30174,30174,Parking,,6492,0,,,0,0,785727,0,0,4.8,0.2,36666,D
2359,2359,2359,2359,25431,PONDERAY APTS,Multifamily LR (1-4),Multifamily,44520,44520,0,44520,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,44520,44520,,,0,0,,,0,0,1316242,0,0,8.1,0.2,44520,D
2360,2360,2360,2360,25432,DOLPHIN APTS,Multifamily LR (1-4),Multifamily,28472,28472,0,28472,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,28472,28472,,,0,0,,,0,0,727386,0,0,4.5,0.2,28472,E
2361,2361,2361,2361,25433,UNIVERSITY PARK APTS,Multifamily LR (1-4),Multifamily,20884,20884,0,24696,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,24696,24696,,,0,0,,,0,0,795617,0,0,4.9,0.2,24696,E
2362,2362,2362,2362,25435,DAYSTAR RETIREMENT VILLAGE,Multifamily LR (1-4),Multifamily,31900,27267,4633,27267,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,27267,27267,,,0,0,,,0,0,798554,0,0,4.9,0.2,27267,E
2364,2364,2364,2364,25438,1317 6TH AVENUE N APTS,Multifamily LR (1-4),Multifamily,36260,36260,0,36260,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,36260,36260,,,0,0,,,0,0,1192657,0,0,7.4,0.2,36260,D
2365,2365,2365,2365,25447,THE PRESS,Multifamily MR (5-9),Multifamily,29280,24696,4584,24696,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,24696,24696,Parking,,4584,0,,,0,0,416309,0,375731,22.5,0.9,29280,E
2367,2367,2367,2367,25452,CHANDLERS COVE,NonResidential,NonResidential,26519,26519,0,26519,0.51,0.49,0.0,Restaurant,Restaurant,13592,13592,Office,Office,12927,12927,,,0,0,2253453,0,1931922,116.5,4.4,26519,E
2368,2368,2368,2368,25578,WESTWOOD APTS,Multifamily LR (1-4),Multifamily,34639,19237,15402,43032,0.54,0.46,0.0,Restaurant,Restaurant,23373,23373,Other,Other,19659,19659,Parking,,15402,0,2668476,0,2433836,145.7,7.6,58434,D
2370,2370,2370,2370,25461,CHINA HARBOR RESTURANT & MARINA,NonResidential,NonResidential,26300,26300,0,26300,1.0,0.0,0.0,Other - Entertainment/Public Assembly,Entertainment/Public Assembly,26300,26300,,,0,0,,,0,0,1339249,0,2043726,116.8,4.4,26300,E
2371,2371,2371,2371,25462,OFFICE / MARINA,NonResidential,NonResidential,34072,34072,0,34072,1.0,0.0,0.0,Restaurant,Restaurant,34072,34072,,,0,0,,,0,0,2520931,0,4228314,240.1,7.0,34072,D
2372,2372,2372,2372,25464,WATERWORKS OFFICE & MARINA,NonResidential,NonResidential,23355,23355,0,21915,1.0,0.0,0.0,Office,Office,21915,21915,,,0,0,,,0,0,804741,0,0,5.0,0.2,21915,E
2373,2373,2373,2373,25466,CENVEO COLORGRAPHICS,NonResidential,NonResidential,30840,30840,0,30435,0.96,0.04,0.0,Office,Office,29255,29255,Restaurant,Restaurant,1180,1180,,,0,0,2074608,0,1699327,103.0,3.3,30435,D
2374,2374,2374,2374,25471,NATIONAL BARRICADE,NonResidential,NonResidential,35003,35003,0,35997,1.0,0.0,0.0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,35997,35997,,,0,0,,,0,0,381303,0,318073,19.2,0.5,35997,D
2375,2375,2375,2375,25474,VARSITY APTS,Multifamily LR (1-4),Multifamily,20332,20332,0,20332,1.0,0.0,0.0,Other,Other,20332,20332,,,0,0,,,0,0,208663,0,359880,20.4,1.0,20332,E
2376,2376,2376,2376,25475,VARSITY COURT APTS,Multifamily LR (1-4),Multifamily,30315,21518,8797,20323,0.93,0.0,0.07,Multifamily Housing,Multifamily Housing,18823,18823,Parking,,8797,0,Restaurant,Restaurant,1500,1500,977138,0,0,6.0,0.3,29120,E
