,OSEBuildingID,TaxParcelIdentificationNumber,DataYear,BuildingType,BuildingName,Owner,CouncilDistrictCode,Neighborhood,Units,YearBuilt,Address,City,State,ZipCode,Latitude,Longitude,PrimaryPropertyType,ListOfAllPropertyUseTypes,EPAPropertyType,TotalGHGEmissions__metric_tons_,ENERGYSTARScore,YearsENERGYSTARCertified,SiteEUI_kBtu_sf_,SiteEUIWN_kBtu_sf_,SiteEnergyUse_kBtu_,SiteEnergyUseWN_kBtu_,SourceEUI_kBtu_sf_,SourceEUIWN_kBtu_sf_,GHGEmissionsIntensityKgSqFt,NaturalGas_kBtu_,NaturalGas_therms_,Electricity_kBtu_,Electricity_kWh_,SteamUse_kBtu_,OtherFuelUse_kBtu_,PropertyGFATotal,PropertyGFABuilding_s_,PropertyGFAParking,NumberofBuildings,NumberofFloors,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,Outlier,ComplianceIssue,ComplianceStatus,Comments,DefaultData,LegislationPropertyType,electric_co2_m3_kwh
2013,25166,6126601200,2020,Multifamily LR (1-4),GARDEN TERRACE APTS,GARDEN TERRACE INVESTORS 2008 L L C,1,SOUTHWEST,32,1986,4830 FAUNTLEROY WAY SW,SEATTLE,WA,98116,47.55829,-122.3811,,,Multifamily LR (1-4),3.6,83,,27.3,27.9,687067,672237,76.3,78.0,0.1,0,0,672237,197022,0,0,24664,24664,0,1,3,Multifamily Housing,24664,,,,,,No Issue,Compliant,,,Multifamily Housing,1.8272071139263636e-05
2014,25223,6371000005,2020,Multifamily LR (1-4),ALKI SANDS APT,YOSHIKAWA TERRANCE,1,SOUTHWEST,20,1963,2700 ALKI AVE SW,SEATTLE,WA,98116,47.57915,-122.40976,,,Multifamily LR (1-4),2.8,87,,24.9,25.8,536335,517221,69.7,72.2,0.1,0,0,517221,151589,0,0,20790,20790,0,1,4,Multifamily Housing,20790,,,,,,No Issue,Compliant,,,Multifamily Housing,1.84709972359472e-05
2015,25235,6379500005,2020,Multifamily LR (1-4),COLLEGE STREET APTS,WEST 206 ALLIANCE INVESTMENTS LLC,1,SOUTHWEST,38,1988,4301 SW COLLEGE ST,SEATTLE,WA,98116,47.58277,-122.38687,,,Multifamily LR (1-4),7.0,43,,31.0,32.0,1354034,1313146,86.9,89.6,0.2,0,0,1313146,384861,0,0,42312,30649,11663,1,4,Multifamily Housing,42312,Parking,12600,,,,No Issue,Compliant,,,Multifamily Housing,1.8188384897404516e-05
2016,25763,9272201340,2020,Multifamily LR (1-4),Villa Andora,VILLA ANDORA 1520 LLC,1,SOUTHWEST,36,1969,1520 CALIFORNIA AVE SW,SEATTLE,WA,98116,47.58968,-122.38587,,,Multifamily LR (1-4),5.1,69,,27.5,28.1,987920,965658,76.9,78.7,0.2,0,0,965657,283018,0,0,30420,30420,0,1,3,Multifamily Housing,35164,,,,,,No Issue,Compliant,,,Multifamily Housing,1.8020055261502802e-05
2017,25770,9274200145,2020,Multifamily LR (1-4),PARK HAMILTON,PARK HAMILTON INVESTORS 2019 LLC,1,SOUTHWEST,30,1966,1501 CALIFORNIA AVE SW,SEATTLE,WA,98116,47.59027,-122.3866,,,Multifamily LR (1-4),5.5,55,,28.8,29.6,1069250,1037398,80.5,83.0,0.2,0,0,1037398,304044,0,0,39757,36067,3690,1,4,Multifamily Housing,36067,Parking,3690,,,,No Issue,Compliant,,,Multifamily Housing,1.8089487047927274e-05
2018,25883,9290890000,2020,Multifamily LR (1-4),WESTERLY CONDOMINIUM,,1,SOUTHWEST,NOT_FOUND,1989,4540 45TH AVE SW,SEATTLE,WA,98116,47.56178,-122.3891,,,Multifamily LR (1-4),2.8,76,,31.0,31.8,539968,527787,86.9,88.9,0.1,0,0,527787,154685,0,0,20407,20407,0,1,4,Multifamily Housing,17000,,,,,,No Issue,Compliant,,,Multifamily Housing,1.8101302647315512e-05
2019,25975,5323100010,2020,Multifamily LR (1-4),ALKI SHORES APTS/ ALKI CAFE/ LIBERTY DELI,ALKI SHORES L L C,1,SOUTHWEST,15,1962,2720 ALKI AVE SW,SEATTLE,WA,98116,47.57897,-122.41037,,,Multifamily LR (1-4),2.9,,,23.9,24.5,562486,550284,67.0,68.5,0.1,0,0,550284,161279,0,0,22982,22982,0,1,3,Multifamily Housing,17164,Restaurant,5818,,,,No Issue,Compliant,,,Multifamily Housing,1.798126228461238e-05
2020,25976,5323100025,2020,Multifamily LR (1-4),RIPPLE ROCK APTS,RIPPLE ROCK LLC,1,SOUTHWEST,27,1958,2728 61ST AVE SW,SEATTLE,WA,98116,47.57845,-122.41036,,,Multifamily LR (1-4),3.0,90,,22.4,23.1,577498,561499,62.8,64.6,0.1,0,0,561499,164566,0,0,25016,25016,0,1,3,Multifamily Housing,25016,,,,,,No Issue,Compliant,,,Multifamily Housing,1.8229767995819305e-05
2021,25978,5323100075,2020,Multifamily LR (1-4),BEACH LANDING,6023 SW STEVENS LLC,1,SOUTHWEST,24,1989,6023 SW STEVENS ST,SEATTLE,WA,98116,47.57753,-122.41031,,,Multifamily LR (1-4),3.0,90,,20.9,21.4,576300,562699,58.6,60.0,0.1,0,0,562699,164918,0,0,26896,21642,5254,1,3,Multifamily Housing,26896,,,,,,No Issue,Compliant,,,Multifamily Housing,1.819085848724821e-05
2022,27082,3902100255,2020,Multifamily LR (1-4),CONTINENTAL APTS,FRASER RICHARD H,1,SOUTHWEST,18,1967,4835 CALIFORNIA AVE SW,SEATTLE,WA,98116,47.55807,-122.38715,,,Multifamily LR (1-4),3.4,,,23.8,24.6,651828,631383,66.6,68.8,0.1,0,0,631383,185048,0,0,26528,26528,0,1,4,Multifamily Housing,26528,,,,,,No Issue,Compliant,,,Multifamily Housing,1.837361117115559e-05
2023,27114,6126600815,2020,Multifamily LR (1-4),THUNDERBIRD APTS,4821 FAUNTLEROY LLC,1,SOUTHWEST,28,1957,4821 FAUNTLEROY WAY SW,SEATTLE,WA,98116,47.55857,-122.38186,,,Multifamily LR (1-4),3.2,76,,28.3,29.2,630404,610308,79.1,81.7,0.2,0,0,610309,178871,0,0,21596,21596,0,2,2,Multifamily Housing,21596,,,,,,No Issue,Compliant,,,Multifamily Housing,1.788998775653963e-05
2025,29792,7579200260,2020,Multifamily LR (1-4),ELAN 41 (Used to be JEFFERSON SQUARE APARTMENTS),JSP ARTERRA LLC  ET AL,1,SOUTHWEST,,1987,4100 SW EDMUNDS ST,SEATTLE,WA,98116,47.5596,-122.38459,,,Multifamily LR (1-4),11.2,98,,26.7,27.3,2160792,2111703,74.8,76.5,0.2,0,0,2111703,618905,0,0,79052,55052,24000,1,3,Multifamily Housing,79052,Parking,24000,,,,No Issue,Compliant,,,Multifamily Housing,1.809647684216479e-05
2034,23223,7579201105,2020,Multifamily MR (5-9),HUDSON SQUARE APTS,HUDSON SQUARE APARTMENTS LLC,1,SOUTHWEST,19,1989,4852 CALIFORNIA AVE SW,SEATTLE,WA,98116,47.55773,-122.38639,,,Multifamily MR (5-9),3.1,,,26.1,26.7,602526,589644,73.0,74.6,0.1,0,0,589644,172815,0,0,22606,22606,0,1,5,Multifamily Housing,19531,Office,3075,,,,No Issue,Compliant,,,Multifamily Housing,1.793825767439169e-05
2040,24846,8083000000,2020,Multifamily MR (5-9),SUMMIT ON CALIFORNIA CONDOMINIUM,,1,SOUTHWEST,NOT_FOUND,1996,4409 CALIFORNIA AVE SW,SEATTLE,WA,98116,47.56445,-122.38712,,,Multifamily MR (5-9),5.2,,,48.5,48.7,978158,973394,135.8,136.4,0.3,0,0,973394,285286,0,0,20078,20078,0,1,6,Multifamily Housing,20076,,,,,,No Issue,Compliant,,,Multifamily Housing,1.8227322756812464e-05
2043,25065,7579200295,2020,Multifamily MR (5-9),CITY WATCH APTS,WEST SEATTLE CAPITAL PARTNERS,1,SOUTHWEST,90,1991,4718 41ST AVE SW,SEATTLE,WA,98116,47.56028,-122.38371,,,Multifamily MR (5-9),18.9,89,,33.7,34.3,3620054,3555884,94.3,96.0,0.2,0,0,3555884,1042170,0,0,163699,105596,58103,1,5,Multifamily Housing,80536,Parking,58103,Office,25060,,No Issue,Compliant,,,Multifamily Housing,1.8135237053455768e-05
2049,27081,3902100225,2020,Multifamily MR (5-9),SOUNDVIEW,RSA SOUND VIEW LLC,1,SOUTHWEST,85,2001,4815 CALIFORNIA AVE SW,SEATTLE,WA,98116,47.55856,-122.38723,,,Multifamily MR (5-9),10.2,,,25.5,25.8,1951383,1925873,71.3,72.2,0.1,0,0,1925873,564441,0,0,108066,75630,32436,1,6,Multifamily Housing,71549,Retail Store,4081,,,,No Issue,Compliant,,,Multifamily Housing,1.8070976417375774e-05
2081,20880,1862400360,2020,Multifamily LR (1-4),IMPERIAL CROWN MANOR APT,DUVAL LIMITED PARTNERSHIP,6,BALLARD,44,1978,1207 NW 92ND ST,SEATTLE,WA,98117,47.6958,-122.37208,,,Multifamily LR (1-4),5.0,86,,26.6,27.2,964903,945110,74.5,76.1,0.1,0,0,945110,276996,0,0,35512,35512,0,1,4,Multifamily Housing,35512,,,,,,No Issue,Compliant,,,Multifamily Housing,1.8050802177648775e-05
2083,23226,7588700346,2020,Multifamily LR (1-4),FORTY SEVEN APTS,FORTYSEVEN LLC,6,BALLARD,13,2001,8356 16TH AVE NW,SEATTLE,WA,98117,47.69041,-122.37759,,,Multifamily LR (1-4),2.2,,,17.6,18.0,420863,412087,49.3,50.4,0.1,0,0,412087,120776,0,0,23381,23381,0,1,3,Multifamily Housing,23381,Parking,3500,,,,No Issue,Compliant,,,Multifamily Housing,1.821553951116116e-05
2086,26857,6021503395,2020,Multifamily LR (1-4),LOYAL HEIGHTS MANOR,,6,BALLARD,54,1980,7547 24TH AVE NW,SEATTLE,WA,98117,47.68457,-122.38779,,,Multifamily LR (1-4),6.4,88,,35.4,36.0,1229968,1209193,99.0,100.7,0.2,0,0,1209193,354394,0,0,57770,34200,23570,1,3,Multifamily Housing,34200,Parking,23570,,,,No Issue,Compliant,,,Multifamily Housing,1.8058996484139123e-05
2087,28022,6824100066,2020,Multifamily LR (1-4),BLUE RIDGE APTS,NW LIMITED PARTNERSHIP,6,BALLARD,31,1986,9600 9TH AVE NW,SEATTLE,WA,98117,47.69953,-122.36843,,,Multifamily LR (1-4),4.1,64,,27.1,27.7,784346,766658,75.8,77.5,0.1,0,0,766658,224695,0,0,28328,28328,0,1,4,Multifamily Housing,28328,,,,,,No Issue,Compliant,,,Multifamily Housing,1.8246956986136763e-05
2089,49801,458000030,2020,Multifamily LR (1-4),NOBA APARTMENTS,CP5 NOBA LLC,1,BALLARD,,2013,8022 15TH AVE NW,SEATTLE,SEATTLE,98117,47.68757,-122.37651,,,Multifamily LR (1-4),6.1,97,,26.2,26.5,1166558,1154301,73.5,74.2,0.1,0,0,1154301,338306,0,0,45159,45159,0,1,4,Multifamily Housing,43998,Parking,11400,,,,No Issue,Compliant,,,Multifamily Housing,1.8031013342949874e-05
2092,50482,461003000,2020,Multifamily MR (5-9),LILLEHAMMER,LILLEHAMMER LLC,1,BALLARD,,2018,7016 15TH AVE NW,SEATTLE,SEATTLE,98117,47.68004,-122.3764,,,Multifamily MR (5-9),7.0,97,,33.1,,,2207673,69.4,,0.1,0,0,1325159,388382,0,0,81631,66570,15061,1,5,Multifamily Housing,64003,Office,2657,,,,No Issue,Compliant,,,Multifamily Housing,1.8023492334866188e-05
2094,23228,7589200051,2020,NonResidential,SAFEWAY STORE # 1143,CROWN HILL LLC,6,BALLARD,NOT_FOUND,1994,8332 15TH AVE NW,SEATTLE,WA,98117,47.6899,-122.37619,,,Supermarket/Grocery Store,34.5,57,,142.4,142.4,6484420,6484420,398.8,398.8,0.8,0,0,6484421,1900475,0,0,45522,45522,0,1,1,Supermarket/Grocery Store,45522,Parking,0,,,,No Issue,Compliant,,,Supermarket/Grocery Store,1.8153356397742668e-05
2095,23320,3812400023,2020,NonResidential,CENTURYLINK: PARKWAY CO,,2,SOUTHEAST,NOT_FOUND,1921,6315 RAINIER AVE S,SEATTLE,WA,98118,47.54563,-122.27616,,,Other,21.4,,,98.0,98.0,4019148,4019148,274.3,274.3,0.5,0,0,4019148,1177945,0,0,41022,41022,0,1,2,Other,41022,,,,,,No Issue,Compliant,,,Other,1.8167231916600518e-05
2097,21689,2224049035,2020,NonResidential,DEPT SOCIAL & HEALTH SERVICES,NORTH AMERICA CHANG JIANG 8 LLP,1,GREATER DUWAMISH,NOT_FOUND,1982,3600 S GRAHAM ST,SEATTLE,WA,98118,47.54693,-122.28718,,,Office,10.5,58,,47.7,48.1,1982656,1967552,133.5,134.5,0.3,0,0,1967552,576656,0,0,41262,41262,0,1,2,Office,41262,,,,,,No Issue,Compliant,,,Office,1.8208429288865458e-05
2100,24030,3333002890,2020,NonResidential,KING PLAZA II,QWEST CORPORATION,1,GREATER DUWAMISH,NOT_FOUND,2002,6951 MARTIN LUTHER KING JR WAY S,SEATTLE,WA,98118,47.53934,-122.28322,,,Strip Mall,15.5,,,78.0,77.7,2899675,2910924,218.3,217.4,0.4,0,0,2910924,853143,0,0,54811,37340,17471,1,2,Strip Mall,37340,Parking,17401,,,,No Issue,Compliant,,,Mixed Use Property,1.816811484123998e-05
2111,24018,3330501325,2020,NonResidential,ST EDWARDS SCHOOL,,2,SOUTHEAST,NOT_FOUND,1912,4213 S ORCAS ST,SEATTLE,WA,98118,47.55095,-122.27978,,,K-12 School,1.2,71,,41.9,44.9,1895402,1770426,53.2,56.4,0.0,0,0,223389,65472,0,0,42252,42252,0,1,2,K-12 School,42252,,,,,,No Issue,Compliant,,,K-12 School,1.8328445747800586e-05
2116,19559,323049025,2020,NonResidential,"NOBLE, LTD.,   WORLD HEADQUARTERS",B9 SS 40TH AVE OWNER LLC,1,GREATER DUWAMISH,NOT_FOUND,1967,9860 40TH AVE S,SEATTLE,WA,98118,47.51127,-122.281,,,Unclassified,0.0,,,,,,,,,0.0,0,0,0,0,0,0,48001,48001,0,1,1,,,,,,,,Portfolio Manager Account Not Shared,Not Compliant,,,Other,
2119,24376,7950303700,2020,Nonresidential COS,SE Seattle Community Health Center,CITY OF SEATTLE,2,SOUTHEAST,NOT_FOUND,1990,4400 37TH AVE S,SEATTLE,WA,98118,47.56364,-122.28572,,,Medical Office,10.1,52,,69.0,69.5,1910017,1896115,193.1,194.5,0.4,0,0,1896115,555720,0,0,38352,27270,11082,1,2,Medical Office,19987,Office,7505,,,,No Issue,Compliant,,,Other,1.817462031238753e-05
2130,20198,1105000105,2020,Multifamily LR (1-4),GARDEN COURT APTS,GARDEN COURT WPIG L L C,2,SOUTHEAST,54,1961,6311 47TH AVE S,SEATTLE,WA,98118,47.54557,-122.27438,,,Multifamily LR (1-4),8.0,39,,38.9,40.1,1543642,1498009,108.9,112.2,0.2,0,0,1498009,439041,0,0,43752,43752,0,1,3,Multifamily Housing,38514,,,,,,No Issue,Compliant,,,Multifamily Housing,1.822153284089641e-05
2131,20199,1105000115,2020,Multifamily LR (1-4),GRAHAM ST APTS,R&W LANTERA LLC,2,SOUTHEAST,60,1968,4601 S GRAHAM ST,SEATTLE,WA,98118,47.5459,-122.27507,,,Multifamily LR (1-4),7.8,80,,27.0,27.5,1495347,1463818,75.5,77.1,0.1,0,0,1463818,429020,0,0,60270,52588,7682,1,3,Multifamily Housing,53285,Parking,2000,Non-Refrigerated Warehouse,1000,,No Issue,Compliant,,,Multifamily Housing,1.8180970584121953e-05
2133,20207,1105000900,2020,Multifamily LR (1-4),MYRTLE STREET APTS,MYRLE STREET APARTMENTS LLC,2,SOUTHEAST,38,1969,7020 RAINIER AVE S,SEATTLE,WA,98118,47.53928,-122.27045,,,Multifamily LR (1-4),5.7,62,,30.9,31.5,1094033,1072997,86.6,88.3,0.2,0,0,1072997,314477,0,0,34678,34678,0,1,4,Multifamily Housing,34678,,,,,,No Issue,Compliant,,,Multifamily Housing,1.8125331900266158e-05
2134,21605,2123700355,2020,Multifamily LR (1-4),HENDERSON ARMS,TARNG YAO SENG,2,SOUTHEAST,39,1962,4803 S HENDERSON ST,SEATTLE,WA,98118,47.52284,-122.27265,,,Multifamily LR (1-4),5.3,58,,32.1,32.9,1016801,992114,89.9,92.2,0.2,0,0,992114,290772,0,0,30891,30891,0,1,3,Multifamily Housing,30891,,,,,,No Issue,Compliant,,,Multifamily Housing,1.822733963380243e-05
2135,21610,2123700405,2020,Multifamily LR (1-4),VILLA PARK TOWNHOMES,HOUSING AUTHORITY OF CITY OF SEATTLE,2,SOUTHEAST,39,2000,9101 50TH AVE S,SEATTLE,WA,98118,47.52214,-122.27161,,,Multifamily LR (1-4),9.1,48,,42.3,43.4,1760225,1714419,118.4,121.6,0.2,0,0,1714419,502467,0,0,40542,40542,0,1,2,Multifamily Housing,40542,,,,,,No Issue,Compliant,,,Multifamily Housing,1.8110642091918474e-05
2137,22135,2724049001,2020,Multifamily LR (1-4),THE ARCHES APTS,SOUTHEAST SEATTLE SENIOR FOUNDATION,2,SOUTHEAST,24,1967,6601 RAINIER AVE S,SEATTLE,WA,98118,47.54262,-122.27324,,,Multifamily LR (1-4),4.5,40,,33.3,34.3,864278,837151,93.1,96.1,0.2,0,0,837151,245355,0,0,25174,25174,0,1,3,Multifamily Housing,25174,,,,,,No Issue,Compliant,,,Multifamily Housing,1.8340771535122578e-05
2138,22136,2724049002,2020,Multifamily LR (1-4),COLUMBIA PLACE,HOUSING AUTHORITY CITY SEATTLE,2,SOUTHEAST,66,1983,4628 S HOLLY ST,SEATTLE,WA,98118,47.54303,-122.27418,,,Multifamily LR (1-4),8.9,57,,32.0,32.8,1713599,1670615,89.6,91.9,0.2,0,0,1670615,489629,0,0,52228,52228,0,1,4,Multifamily Housing,52228,,,,,,No Issue,Compliant,,,Multifamily Housing,1.8177027912970843e-05
2139,22353,2589300006,2020,Multifamily LR (1-4),PARKWAY HOUSE,BOYD PARKWAY APTS LLC,2,SOUTHEAST,62,1959,7401 RAINIER AVE S,SEATTLE,WA,98118,47.53558,-122.27061,,,Multifamily LR (1-4),8.5,56,,35.4,36.1,1630520,1598553,99.0,101.0,0.2,0,0,1598553,468509,0,0,45201,45201,0,1,3,Multifamily Housing,45201,,,,,,No Issue,Compliant,,,Multifamily Housing,1.8142661080150006e-05
2140,22354,2589300045,2020,Multifamily LR (1-4),THE FONTANELLE,FONTANELLE APARTMENTS LLC,1,SOUTHEAST,50,1962,7325 RAINIER AVE S,SEATTLE,WA,98118,47.53628,-122.27074,,,Multifamily LR (1-4),6.5,71,,28.1,28.8,1246568,1218917,78.8,80.6,0.1,0,0,1218917,357244,0,0,43330,43330,0,1,3,Multifamily Housing,43330,,,,,,Account Requires Verification,Not Compliant,,,Multifamily Housing,1.8194847219267505e-05
2141,22395,2660500400,2020,Multifamily LR (1-4),LILAC LODGE,LILAC LODGE LLC,1,SOUTHEAST,44,1969,5033 37TH AVE S,SEATTLE,WA,98118,47.55609,-122.28651,,,Multifamily LR (1-4),5.3,62,,33.0,34.1,1030301,998080,92.5,95.5,0.2,0,0,998080,292520,0,0,30216,30216,0,1,3,Multifamily Housing,30216,,,,,,No Issue,Compliant,,,Multifamily Housing,1.8118419253384385e-05
2143,23639,7701420000,2020,Multifamily LR (1-4),SEWARD PARK TOWNHOMES,,2,SOUTHEAST,NOT_FOUND,2006,7322 RAINIER AVE S,SEATTLE,WA,98118,47.53647,-122.2688,,,Multifamily LR (1-4),7.8,33,,34.2,35.1,1500337,1460536,95.6,98.2,0.1,0,0,1460536,428059,0,0,55842,55842,0,1,2,Multifamily Housing,42762,Parking,13080,,,,No Issue,Compliant,,,Multifamily Housing,1.8221787183542455e-05
2144,23713,3524049011,2020,Multifamily LR (1-4),STARLITER,MOUNT BAKER HOUSING ASSN,2,SOUTHEAST,31,1962,8708 RAINIER AVE S,SEATTLE,WA,98118,47.52481,-122.26961,,,Multifamily LR (1-4),4.4,49,,38.4,39.1,843049,828025,107.6,109.6,0.2,0,0,828025,242680,0,0,21540,21540,0,1,4,Multifamily Housing,21540,,,,,,No Issue,Compliant,,,Multifamily Housing,1.813087193011373e-05
2145,23714,3524049015,2020,Multifamily LR (1-4),LAKE WASHINGTON APARTMENTS,LAKE WASHINGTON II LLLP,1,SOUTHEAST,379,1947,9061 SEWARD PARK AVE S,SEATTLE,WA,98118,47.52175,-122.26466,,,Multifamily LR (1-4),70.1,27,,46.8,48.2,13557515,13176326,131.2,135.0,0.2,0,0,13176325,3861760,0,0,332900,332900,0,1,2,Multifamily Housing,281280,,,,,,No Issue,Compliant,,,Multifamily Housing,1.8152345044746435e-05
2147,24033,3336000125,2020,Multifamily LR (1-4),VALLEY COMMONS,BIG BUY LLC,2,SOUTHEAST,27,1962,8340 RAINIER AVE S,SEATTLE,WA,98118,47.52827,-122.26955,,,Multifamily LR (1-4),3.1,93,,27.2,27.6,597198,588356,76.1,77.3,0.1,0,0,588356,172437,0,0,21640,21640,0,1,4,Multifamily Housing,21640,,,,,,No Issue,Compliant,,,Multifamily Housing,1.7977580217702698e-05
2150,24137,3395060390,2020,Multifamily LR (1-4),INDEPENDENT LIVING-ESPERANZA BLD,ESPERANZA APARTMENTS LTD PSTHP,2,GREATER DUWAMISH,84,2001,6940 37TH AVE S,SEATTLE,WA,98118,47.54027,-122.28551,,,Multifamily LR (1-4),9.6,61,,38.6,39.4,1848453,1810069,108.0,110.3,0.1,0,0,1810069,530501,0,0,66363,66363,0,1,3,Multifamily Housing,46927,,,,,,No Issue,Compliant,,,Multifamily Housing,1.8096101609610538e-05
2152,24150,3424049061,2020,Multifamily LR (1-4),SEWARD PARK APTS,SEWARD PARK APARTMENTS LLC,2,SOUTHEAST,28,1953,4911 S ROSE ST,SEATTLE,WA,98118,47.52845,-122.2708,,,Multifamily LR (1-4),3.5,,,32.3,33.1,684204,665803,90.3,92.8,0.2,0,0,665803,195136,0,0,20645,20645,0,1,2,Multifamily Housing,20645,,,,,,No Issue,Compliant,,,Multifamily Housing,1.7936208592981306e-05
2153,24377,7950303715,2020,Multifamily LR (1-4),4420 OREGON PLACE,OREGON PLACE APTS LLC,2,SOUTHEAST,18,1966,4420 36TH AVE S,SEATTLE,WA,98118,47.56363,-122.28648,,,Multifamily LR (1-4),3.4,,,29.7,30.1,641185,631736,83.0,84.3,0.2,0,0,631736,185151,0,0,21300,21300,0,1,2,Multifamily Housing,21300,,,,,,No Issue,Compliant,,,Multifamily Housing,1.8363389881772175e-05
2155,24858,8113100970,2020,Multifamily LR (1-4),SPENCER APTS,SPENCER APARTMENTS LLC,1,SOUTHEAST,36,1969,6112 RAINIER AVE S,SEATTLE,WA,98118,47.5472,-122.27633,,,Multifamily LR (1-4),4.7,74,,32.5,33.3,909482,888092,91.0,93.2,0.2,0,0,888092,260285,0,0,46720,27320,19400,1,3,Multifamily Housing,27320,Parking,0,,,,No Issue,Compliant,,,Multifamily Housing,1.805712968476862e-05
2158,27166,5649600035,2020,Multifamily LR (1-4),CRESCENT APTS,SB-FELIX NORTH LLC,2,SOUTHEAST,37,1963,5201 42ND AVE S,SEATTLE,WA,98118,47.55512,-122.28161,,,Multifamily LR (1-4),5.7,34,,38.2,39.5,1105674,1069430,107.0,110.6,0.2,0,0,1069430,313432,0,0,27984,27984,0,1,3,Multifamily Housing,27984,,,,,,No Issue,Compliant,,,Multifamily Housing,1.8185762781081702e-05
2159,27359,6649400000,2020,Multifamily LR (1-4),PARK SHORE VILLA CONDOMINIUM,,1,SOUTHEAST,NOT_FOUND,1971,9030 SEWARD PARK AVE S,SEATTLE,WA,98118,47.5221,-122.26406,,,Multifamily LR (1-4),10.2,66,,27.6,28.5,1971369,1912164,77.3,79.7,0.1,0,0,1912164,560423,0,0,87696,87696,0,1,4,Multifamily Housing,69250,,,,,,No Issue,Compliant,,,Multifamily Housing,1.820053780804856e-05
2160,28067,7377600010,2020,Multifamily LR (1-4),COLONY SURF APTS,COLONY SURF LLC,1,SOUTHEAST,51,1967,9551 RAINIER AVE S,SEATTLE,WA,98118,47.52,-122.26034,,,Multifamily LR (1-4),6.5,77,,33.2,34.1,1250839,1218201,93.0,95.5,0.2,0,0,1218201,357034,0,0,42816,42816,0,1,4,Multifamily Housing,36675,Parking,0,,,,No Issue,Compliant,,,Multifamily Housing,1.8205549051350852e-05
2165,20170,1005000168,2020,Multifamily MR (5-9),STATION AT OTHELLO PARK,STATION AT OTHELLO PARK LLC,2,SOUTHEAST,351,2010,4219 S OTHELLO ST,SEATTLE,WA,98118,47.53691,-122.27984,,,Multifamily MR (5-9),40.0,75,,43.6,44.1,13130016,12972613,103.0,104.2,0.1,0,0,7520222,2204051,0,0,387971,297636,90335,1,7,Multifamily Housing,276881,Parking,90335,Retail Store,15877,,No Issue,Compliant,,,Multifamily Housing,1.8148400377305243e-05
2166,24248,7922640000,2020,Multifamily MR (5-9),SPINNAKER BAY CONDOMINIUM,,2,SOUTHEAST,NOT_FOUND,1967,9468 RAINIER AVE S,SEATTLE,WA,98118,47.52077,-122.26216,,,Multifamily MR (5-9),17.5,13,,46.4,48.3,3430083,3296303,130.0,135.3,0.2,0,0,3296303,966091,0,0,71000,71000,0,1,6,Multifamily Housing,71000,,,,,,No Issue,Compliant,,,Multifamily Housing,1.81142356154855e-05
2167,25149,3929900060,2020,Multifamily MR (5-9),GENESEE PARK APTS,TD FRANK FAMILY LLC,1,SOUTHEAST,35,1967,3801 S ALASKA ST,SEATTLE,WA,98118,47.56052,-122.28446,,,Multifamily MR (5-9),6.0,62,,27.0,27.5,1157035,1137065,75.6,77.0,0.2,0,0,1137065,333255,0,0,42090,36765,5325,1,5,Multifamily Housing,42090,,,,,,No Issue,Compliant,,,Multifamily Housing,1.8004230994283657e-05
2168,25530,9197580000,2020,Multifamily MR (5-9),WATER'S EDGE,,2,SOUTHEAST,NOT_FOUND,1964,9530 RAINIER AVE S,SEATTLE,WA,98118,47.52058,-122.26028,,,Multifamily MR (5-9),2.8,87,,25.4,26.0,545732,532177,71.1,72.9,0.1,0,0,532177,155972,0,0,20967,20967,0,1,5,Multifamily Housing,20967,,,,,,No Issue,Compliant,,,Multifamily Housing,1.795194009181135e-05
2181,19565,323049146,2020,NonResidential,NELSON TRUCKING,CREF3 NORFOLK STREET OWNER LLC,1,GREATER DUWAMISH,NOT_FOUND,1979,9747 MARTIN LUTHER KING JR WAY S,SEATTLE,WA,98118,47.51399,-122.27946,,,Non-Refrigerated Warehouse,2.2,73,,15.5,15.7,414706,408516,43.4,44.0,0.1,0,0,408516,119729,0,0,26380,26380,0,1,1,Non-Refrigerated Warehouse,23620,Office,2760,,,,No Issue,Compliant,,,Other,1.8374829824019243e-05
2188,27456,4232903455,2020,NonResidential,CENTURYLINK: ATWATER CO,,7,MAGNOLIA / QUEEN ANNE,NOT_FOUND,1956,1503 3RD AVE W,SEATTLE,WA,98119,47.63286,-122.36141,,,Other,27.1,,,146.1,146.1,5093651,5093651,409.2,409.2,0.7,0,0,5093652,1492864,0,0,36771,36771,0,1,2,Other,34856,,,,,,No Issue,Compliant,,,Other,1.815302666552345e-05
2191,489,1989200615,2020,NonResidential,200 WEST THOMAS BUILDING,SREH 2014 LLC,1,MAGNOLIA / QUEEN ANNE,NOT_FOUND,1974,200 W THOMAS ST,SEATTLE,WA,98119,47.62115,-122.3597,,,Office,13.7,88,,37.1,37.9,2632574,2579495,103.9,106.1,0.2,0,0,2579495,756007,0,0,88062,67236,20826,1,5,Office,69505,Parking,17936,,,,No Issue,Compliant,,,Office,1.812152532979192e-05
